record_id,item_id,dataset,source_row,group_id,scheme,mapping,label,split,statement_sha256
03f5b66a091d5b43249b,bc3df7ba7d2bdd574a4fdf47,cities,0,Krasnodar,primary,standard,1,train,6bc01ba150e39f6d373aa7a7a8418b5c842aa31f2ae9d184a84c271c0cb3df6b
265aba7910cff461b587,f3e594929b0254efcc0f03c6,cities,1,Krasnodar,primary,standard,0,train,f7f0820e80f4b0767ea0c7756a35b9808d5ff661fe3fa4478157e973e271ae20
4626bf190771f54649cd,fe2d2dbc7a7b1c043cd41411,cities,2,Lodz,primary,reversed,1,train,c9e341fe9a708ddbfa49ab044697b25b0489632f9ed17e227416d173b39f2ae5
993b4d572812ad8425e2,8d9b3ae8ceabd7f4ae72e749,cities,3,Lodz,primary,reversed,0,train,fbd447760132538b4f53ff92e2560ce218a8dd1b47163e434d6971d9e14a7b4d
b6893f042d86b7c26835,305d1a898ca2b782ea6c1191,cities,4,Maracay,primary,reversed,1,train,52beee81860c16b8ae0a3cd85319fe64df5a1af61b917773ab705209fe2d5e82
3dcc7c007fedf235226f,f5003c4b2a60b60ff071845b,cities,5,Maracay,primary,reversed,0,train,50f337364293621bd97fbdfc5f4c44c4b9474fd4f6775064c4d8f6ef17617a03
5ad45886e64306bfc3da,c64dd6061a202ba82f9c44c6,cities,6,Baku,primary,standard,1,train,1236d8b4ad36037a78ce100aa8d9c8ada20ef7ed70b06e5adba3a8e7e54580f2
40201bbb88c5dd6e6ffc,4f49cc7513b76062b9e4ff03,cities,7,Baku,primary,reversed,0,train,122b727925eaedb03437f904c26888c1d3be6a24a97c8d3da388e88c79b1ea7c
56d70adc8e0f0e742af6,a759d7412d5dfcdde2a64c77,cities,8,Baoji,primary,standard,1,train,d5bab74abcd6d38f34a2331574fc6c05edf8a243aed50a7292e9f5b69940d3a5
896b8268d9b7a64b0080,5683d0e3ae47ab61966f271e,cities,9,Baoji,primary,reversed,0,train,86c88ec1fea3d0b121a8b1284b5c6d265241691c3d4fdf7db4b4b78617ee4795
ee401299e036d024e411,8ebc2f05e234bf1c6c4a3571,cities,10,Addis Ababa,primary,standard,1,test,879f915ded12244a362b5b05613734ea88d2ce0bd57124d74d9e1dce379c917b
c78f9a23d3ff4f93a05c,7b73d9ea9b54327e250cf8f0,cities,11,Addis Ababa,primary,reversed,0,test,7ee53d576ce459b95cb60d9dbb517d52788cf4fa2e551eb71e11985192355e67
61fae95596a81bc1cc8e,0c14ce3b0268c6b7dd3dfb0c,cities,12,Abidjan,primary,standard,1,test,162e8335643fa7797f54b0456fc839140a30c4a589586d044ddcbecc2b3c755f
738151681fbe6bedb608,e47c4726372bf227c8102fde,cities,13,Abidjan,primary,standard,0,test,622e63047bd1dd3b9700ab60064d2d1209c1d18ad89d4a17d2db5fb8b4c4f573
2ecc9ae34f32f2bd5bd3,5b799fb2dcac03dc3a11677d,cities,14,Yongzhou,primary,reversed,1,train,ae346de1bd1992055ec2723b6a5a96224a4c65632f1710f8f1775605eae90f48
cffc6715647e3f7a4611,bbb80cfd1e77db41c8130d77,cities,15,Yongzhou,primary,reversed,0,train,e77132bb968980ce6dd34cf7c11aaee58f124ce30b60810682ea2021e89e11b0
1ee338567078fc17f991,6b0b12c9e9f533f88a23cf8f,cities,16,Nanchong,primary,standard,1,train,633caee212c468044faf4406da752c910f0d018d0bb34f6e8144410534d090c7
e89e47cf65a76e4506c9,e6ae3976a6f3fddf80250204,cities,17,Nanchong,primary,standard,0,train,5e7f779681211933ec234d93a51058e7983d6783f475dd4915c7ae94b53cbd8c
a935e03ffe610da965d0,0c16886c2c0bb9e30237ded5,cities,18,Lu'an,primary,reversed,1,dev,c9d16cf4aa8053d65b81d8773f45a464b8d4e5f1e727cae38fb8eccf591939b5
f08176c0c85af74cc21a,b21e4f99622a6803750da705,cities,19,Lu'an,primary,standard,0,dev,9befd49cc803e48394e7590e4e492d12a2eafe301ffca1e83d780bd4606c7b3b
ac49aa90059f3cf27418,cab9e6b42e7f6b0a6428c271,cities,20,Jiaxing,primary,reversed,1,train,c971ea9c3f1434120675337019c4c75be9e992878d878b1f3c5b718191437ccc
9d2aa4fa9f1ac1ad5d68,0e17847c75655a90452675a6,cities,21,Jiaxing,primary,standard,0,train,d7fdbad88446f6a93bacf8b5702eebb06628e6a52f5d8aa20afc271ede6334fe
1799bef0a85305c1f0b2,c104026ab80b9af352ec880e,cities,22,Huaihua,primary,standard,1,dev,a43680ccdcf53480d6b32ea9a512ef90a89d69b98ede3e51c0c5212fcf7ebedf
c42e0b7e010eaed2cfbf,54441e79ba5a415496cdd0d7,cities,23,Huaihua,primary,reversed,0,dev,5b851b2a09ea16678a79e96ec65e32271ec1abd61098218c06518df16452c363
be4da6b46c357022e4c2,db849b1a4314801f47705571,cities,24,Anqing,primary,reversed,1,train,a46825e9b74a71bdb22fb003c05ca934003e6cc6b79437ad6b4d9fe540d7aa82
bc3d0f6f42d2e3214f43,82c8afa3cb4f4cf00614c8b1,cities,25,Anqing,primary,standard,0,train,6db7bc95f6654048f60e3bb0fbc5af4983dfab65014fddfef1c6b497245458a5
384c46c91acaf126e1b2,7d56e14a8928ea048bc21508,cities,26,Yingkou,primary,reversed,1,train,8211ab944a875878a47c7fc8116f87e46d51b0fa2379f9b8fb662533a1e29890
