model,task,condition,scenes,queries,accuracy,changed,invariant_harm,conditional_harm,all_correct,false_nonaddressed_change,changed_dir0,changed_dir1,by_family,by_draw,changed_by_draw,harm_by_draw,by_actors,changed_by_actors,harm_by_actors,answer_mass,ties,argmax_outside_labels,generation_parse_ok,generation_agrees,realized_norm,edited_tokens,energy,cache_bytes,coherence_ratio,by_options
gemma,relation,SOURCE,64,1536,0.5390625,0.09895833333333333,0.0,0.0,0.0,0.0,0.0949074074074074,0.10416666666666664,"{""both"": 0.5703125, ""direct"": 0.75, ""either"": 0.484375, ""opposes"": 0.4921875, ""same"": 0.1875}","{""0"": 0.5338541666666666, ""1"": 0.5442708333333334}","{""0"": 0.08854166666666666, ""1"": 0.10937499999999999}","{""0"": 0.0, ""1"": 0.0}","{""4"": 0.5299479166666666, ""6"": 0.5481770833333334}","{""4"": 0.09114583333333333, ""6"": 0.10677083333333333}","{""4"": 0.0, ""6"": 0.0}",0.9995690717682154,0,0,1.0,1.0,,,,,0.0,
gemma,relation,COUNTERFACTUAL,64,1536,0.9231770833333334,0.8671875,0.018229166666666664,0.018617021276595744,0.390625,0.033203125,0.8611111111111112,0.8749999999999999,"{""both"": 0.91015625, ""direct"": 0.99609375, ""either"": 0.94140625, ""opposes"": 0.953125, ""same"": 0.7421875}","{""0"": 0.9283854166666666, ""1"": 0.91796875}","{""0"": 0.8776041666666667, ""1"": 0.8567708333333333}","{""0"": 0.018229166666666664, ""1"": 0.018229166666666664}","{""4"": 0.9348958333333334, ""6"": 0.9114583333333334}","{""4"": 0.9010416666666666, ""6"": 0.8333333333333334}","{""4"": 0.026041666666666664, ""6"": 0.010416666666666666}",0.9995814731760405,0,0,1.0,1.0,,,,,,
gemma,relation,LATE_s0,64,1536,0.681640625,0.7877604166666666,0.41927083333333337,0.42819148936170215,0.015625,0.412109375,0.7615740740740741,0.8214285714285714,"{""both"": 0.59765625, ""direct"": 0.6484375, ""either"": 0.6875, ""opposes"": 0.70703125, ""same"": 0.80078125}","{""0"": 0.7057291666666666, ""1"": 0.6575520833333334}","{""0"": 0.8567708333333333, ""1"": 0.71875}","{""0"": 0.44010416666666663, ""1"": 0.3984375}","{""4"": 0.72265625, ""6"": 0.640625}","{""4"": 0.7708333333333333, ""6"": 0.8046875}","{""4"": 0.3203125, ""6"": 0.5182291666666667}",0.9976101302904397,0,0,1.0,0.984375,160.88890508810678,,,,0.04,
gemma,relation,LATE_s1,64,1536,0.7298177083333333,0.86328125,0.40234375,0.4109042553191489,0.015625,0.41796875,0.9143518518518517,0.7976190476190476,"{""both"": 0.79296875, ""direct"": 0.65625, ""either"": 0.703125, ""opposes"": 0.73046875, ""same"": 0.83984375}","{""0"": 0.7395833333333334, ""1"": 0.7200520833333334}","{""0"": 0.8932291666666667, ""1"": 0.8333333333333333}","{""0"": 0.4140625, ""1"": 0.390625}","{""4"": 0.7643229166666666, ""6"": 0.6953125}","{""4"": 0.8854166666666667, ""6"": 0.8411458333333334}","{""4"": 0.35416666666666663, ""6"": 0.45052083333333337}",0.9977780307777291,0,0,,,160.89625998338065,,,,0.04,
gemma,relation,LATE_MEAN,64,1536,0.55078125,0.13671875,0.020833333333333332,0.02127659574468085,0.0,0.03515625,0.14583333333333331,0.125,"{""both"": 0.5703125, ""direct"": 0.75, ""either"": 0.4765625, ""opposes"": 0.58203125, ""same"": 0.17578125}","{""0"": 0.5299479166666666, ""1"": 0.5716145833333334}","{""0"": 0.08854166666666666, ""1"": 0.18489583333333331}","{""0"": 0.010416666666666666, ""1"": 0.03125}","{""4"": 0.5442708333333334, ""6"": 0.5572916666666666}","{""4"": 0.13802083333333331, ""6"": 0.13541666666666669}","{""4"": 0.028645833333333332, ""6"": 0.013020833333333332}",0.9995089686783932,0,0,1.0,1.0,140.3736408551534,,,,0.0,
gemma,relation,PREFIX_LAST_s0,64,1536,0.701171875,0.6653645833333334,0.2591145833333333,0.2646276595744681,0.03125,0.2890625,0.8009259259259259,0.49107142857142855,"{""both"": 0.7890625, ""direct"": 0.6875, ""either"": 0.63671875, ""opposes"": 0.6953125, ""same"": 0.7109375}","{""0"": 0.6861979166666666, ""1"": 0.7161458333333334}","{""0"": 0.6640625, ""1"": 0.6666666666666667}","{""0"": 0.2864583333333333, ""1"": 0.23177083333333331}","{""4"": 0.7421875, ""6"": 0.66015625}","{""4"": 0.7005208333333334, ""6"": 0.6302083333333333}","{""4"": 0.20833333333333334, ""6"": 0.3098958333333333}",0.9959882522048465,0,0,1.0,1.0,,1.0,10648.511001586914,156608256.0,0.08,
gemma,relation,PREFIX_LAST_s1,64,1536,0.7233072916666667,0.75390625,0.3072916666666667,0.31382978723404253,0.015625,0.357421875,0.8587962962962963,0.619047619047619,"{""both"": 0.8203125, ""direct"": 0.6796875, ""either"": 0.75, ""opposes"": 0.73046875, ""same"": 0.6796875}","{""0"": 0.7200520833333334, ""1"": 0.7265625}","{""0"": 0.7526041666666667, ""1"": 0.7552083333333333}","{""0"": 0.3125, ""1"": 0.30208333333333337}","{""4"": 0.76171875, ""6"": 0.6848958333333334}","{""4"": 0.7630208333333333, ""6"": 0.7447916666666667}","{""4"": 0.23958333333333334, ""6"": 0.375}",0.9961025055622019,0,0,,,,1.0,10647.059524536133,156608256.0,0.04,
gemma,relation,PREFIX_DISTRIBUTED_s0,64,1536,0.9075520833333333,0.8893229166666667,0.07161458333333333,0.07313829787234043,0.34375,0.06640625,0.8796296296296295,0.9017857142857143,"{""both"": 0.91015625, ""direct"": 0.92578125, ""either"": 0.93359375, ""opposes"": 0.9609375, ""same"": 0.7890625}","{""0"": 0.9140625, ""1"": 0.9010416666666666}","{""0"": 0.8984375, ""1"": 0.8802083333333334}","{""0"": 0.06770833333333333, ""1"": 0.07552083333333333}","{""4"": 0.9283854166666666, ""6"": 0.88671875}","{""4"": 0.90625, ""6"": 0.8723958333333334}","{""4"": 0.04947916666666667, ""6"": 0.09375}",0.9993618145985023,0,0,1.0,0.9947916666666666,,65.1875,673308.2739257812,156608256.0,0.88,
gemma,relation,PREFIX_DISTRIBUTED_s1,64,1536,0.8697916666666667,0.7890625,0.04817708333333333,0.04920212765957447,0.203125,0.07421875,0.7685185185185185,0.8154761904761906,"{""both"": 0.87890625, ""direct"": 0.94140625, ""either"": 0.8125, ""opposes"": 0.9140625, ""same"": 0.73046875}","{""0"": 0.8671875, ""1"": 0.8723958333333334}","{""0"": 0.7864583333333333, ""1"": 0.7916666666666666}","{""0"": 0.049479166666666664, ""1"": 0.046875}","{""4"": 0.8802083333333334, ""6"": 0.859375}","{""4"": 0.8229166666666666, ""6"": 0.7552083333333333}","{""4"": 0.05989583333333333, ""6"": 0.03645833333333333}",0.9991167984083177,0,0,,,,65.1875,693137.8771972656,156608256.0,0.52,
gemma,priority,NATURAL_priority_SOURCE,64,1792,0.5792410714285714,0.05078125,0.0,,0.0,,,,"{""recommend_agreement"": 0.833984375, ""recommend_conflict"": 0.05078125, ""recommend_other_actor"": 0.6484375, ""score_sign"": 0.98828125}",,,,"{""4"": 0.5770089285714286, ""6"": 0.5814732142857143}",,,,,,,,,,,,,"{""2"": 0.6432291666666666, ""3"": 0.5833333333333334, ""4"": 0.4557291666666667, ""6"": 0.3619791666666667}"
gemma,priority,NATURAL_priority_COUNTERFACTUAL,64,1792,0.7388392857142857,0.654296875,0.084375,,0.0,,,,"{""recommend_agreement"": 0.771484375, ""recommend_conflict"": 0.654296875, ""recommend_other_actor"": 0.6640625, ""score_sign"": 0.9921875}",,,,"{""4"": 0.7410714285714286, ""6"": 0.7366071428571429}",,,,,,,,,,,,,"{""2"": 0.921875, ""3"": 0.765625, ""4"": 0.6145833333333334, ""6"": 0.484375}"
gemma,relation,CONTROL_learned,16,384,0.8854166666666667,0.8645833333333334,0.09375,,0.125,,,,,,,,,,,,,,,,,,,,,
