model,panel,condition,endpoint_accuracy,jointly_invariant_damage,accuracy,all_correct,n,n_changed,order_disagreement,chain_correct_vs_target,receiver_failures,aggregator_unparsed,correct_when_joint_changes,correct_when_invariant,needless_change,effect,lower,upper,scenes,level
gemma,composition,SOURCE,0.06707317073170732,0.0,0.5572916666666666,0.0,384,164,,,,,,,,,,,,
gemma,composition,COUNTERFACTUAL_JOINT,0.8719512195121951,0.05,0.90625,0.3125,384,164,,,,,,,,,,,,
gemma,composition,LATE_s0_AB,0.6402439024390244,0.5545454545454546,0.5182291666666666,0.0,384,164,,,,,,,,,,,,
gemma,composition,LATE_s0_BA,0.6402439024390244,0.5545454545454546,0.5182291666666666,0.0,384,164,,,,,,,,,,,,
gemma,composition,PREFIX_DISTRIBUTED_s0_AB,0.823170731707317,0.11363636363636363,0.8489583333333334,0.125,384,164,,,,,,,,,,,,
gemma,composition,PREFIX_DISTRIBUTED_s0_BA,0.8292682926829268,0.10909090909090909,0.8567708333333334,0.1875,384,164,,,,,,,,,,,,
gemma,composition,LATE_MEAN_AB,0.1524390243902439,0.05454545454545454,0.5807291666666666,0.0,384,164,,,,,,,,,,,,
gemma,composition,LATE_MEAN_BA,0.1524390243902439,0.05454545454545454,0.5807291666666666,0.0,384,164,,,,,,,,,,,,
gemma,composition,GLOBAL_LABEL_FLIP,0.9329268292682927,0.9227272727272727,0.4427083333333333,0.0,384,164,,,,,,,,,,,,
gemma,composition,LATE_s0_order_disagreement,,,,,,,0.0,,,,,,,,,,,
gemma,composition,PREFIX_DISTRIBUTED_s0_order_disagreement,,,,,,,0.0078125,,,,,,,,,,,
gemma,composition,LATE_MEAN_order_disagreement,,,,,,,0.0,,,,,,,,,,,
gemma,downstream,SOURCE,,,,,32,,,0.46875,0,0,0.0,1.0,0.0,,,,,
gemma,downstream,COUNTERFACTUAL,,,,,32,,,1.0,0,0,1.0,1.0,0.0,,,,,
gemma,downstream,LATE_s0,,,,,32,,,0.84375,0,0,0.8235294117647058,0.8666666666666667,0.13333333333333333,,,,,
gemma,downstream,PREFIX_DISTRIBUTED_s0,,,,,32,,,1.0,0,0,1.0,1.0,0.0,,,,,
gemma,downstream_interval,prefix_minus_late,,,,,,,,,,,,,,0.15625,0.03125,0.3125,32,0.975
gemma,downstream_interval,prefix_minus_counterfactual,,,,,,,,,,,,,,0.0,0.0,0.0,32,0.975
gemma,downstream_interval,late_minus_counterfactual,,,,,,,,,,,,,,-0.15625,-0.3125,-0.03125,32,0.975
