actor,condition,program,changed,harm,all24,accuracy,touched_accuracy,preservation,n_scenes
gemma,SOURCE,single,0.21744791666666669,0.0,0.015625,0.6041666666666667,0.353125,1.0,64
gemma,SOURCE,noop,,0.0,0.28125,0.88671875,0.846875,1.0,64
gemma,SOURCE,repeat,0.21744791666666669,0.0,0.015625,0.6041666666666667,0.353125,1.0,64
gemma,SOURCE,restore,,0.0,0.28125,0.88671875,0.846875,1.0,64
gemma,SOURCE,AB,0.12890625,0.0,0.0,0.4453125,0.35000000000000003,1.0,64
gemma,SOURCE,BA,0.12890625,0.0,0.0,0.4453125,0.35000000000000003,1.0,64
gemma,SOURCE,ABC,0.08170572916666666,0.0,0.0,0.45833333333333337,0.35000000000000003,1.0,64
gemma,SOURCE,CBA,0.08170572916666666,0.0,0.0,0.45833333333333337,0.35000000000000003,1.0,64
gemma,NATURAL_FINAL_WORLD,single,0.8489583333333334,0.005208333333333333,0.515625,0.9192708333333334,0.89375,0.9947916666666667,64
gemma,NATURAL_FINAL_WORLD,noop,,0.0,0.28125,0.88671875,0.846875,1.0,64
gemma,NATURAL_FINAL_WORLD,repeat,0.8489583333333334,0.005208333333333333,0.515625,0.9192708333333334,0.89375,0.9947916666666667,64
gemma,NATURAL_FINAL_WORLD,restore,,0.0,0.28125,0.88671875,0.846875,1.0,64
gemma,NATURAL_FINAL_WORLD,AB,0.8990885416666666,0.08463541666666666,0.375,0.904296875,0.85,0.9099116161616162,64
gemma,NATURAL_FINAL_WORLD,BA,0.8990885416666666,0.08463541666666666,0.375,0.904296875,0.85,0.9099116161616162,64
gemma,NATURAL_FINAL_WORLD,ABC,0.9127604166666666,0.13216145833333331,0.328125,0.884765625,0.8359375,0.8510398238913863,64
gemma,NATURAL_FINAL_WORLD,CBA,0.9127604166666666,0.13216145833333331,0.328125,0.884765625,0.8359375,0.8510398238913863,64
gemma,SHARED_CLAUSE_s0,single,0.8971354166666667,0.015624999999999998,0.53125,0.9375,0.9203125,0.9840198863636365,64
gemma,SHARED_CLAUSE_s0,noop,,0.0006510416666666666,0.640625,0.9557291666666665,0.9421875,0.9992559523809523,64
gemma,SHARED_CLAUSE_s0,repeat,0.8671875,0.0625,0.40625,0.8990885416666667,0.9109375000000001,0.9363873106060606,64
gemma,SHARED_CLAUSE_s0,restore,,0.14322916666666669,0.125,0.7643229166666666,0.634375,0.8373061001713284,64
