actor,condition,phrasing,n,chain_correct,chain_correct_vs_target,receiver_accuracy,all_receivers_correct,receiver_failures,aggregator_unparsed,correct_when_majority_changes,correct_when_invariant,needless_change
gemma,COUNTERFACTUAL,0,128,0.9765625,0.9765625,1.0,1.0,0,0,0.953125,1.0,0.0
gemma,COUNTERFACTUAL,1,128,0.921875,0.921875,1.0,1.0,0,0,0.90625,0.9375,0.0625
gemma,QUERY_TAIL_s0,0,128,0.9375,0.9375,0.9713541666666667,0.9140625,0,0,0.875,1.0,0.0
gemma,QUERY_TAIL_s0,1,128,0.890625,0.890625,0.9713541666666667,0.9140625,0,0,0.84375,0.9375,0.0625
gemma,QUERY_TAIL_s1,0,128,0.96875,0.96875,0.9895833333333334,0.96875,0,0,0.9375,1.0,0.0
gemma,QUERY_TAIL_s1,1,128,0.9140625,0.9140625,0.9895833333333334,0.96875,0,0,0.890625,0.9375,0.0625
gemma,SHARED_TAIL_s0,0,128,0.96875,0.96875,0.9921875,0.9765625,0,0,0.953125,0.984375,0.015625
gemma,SHARED_TAIL_s0,1,128,0.9140625,0.9140625,0.9921875,0.9765625,0,0,0.90625,0.921875,0.078125
gemma,SHARED_TAIL_s1,0,128,0.96875,0.96875,0.9895833333333334,0.96875,0,0,0.9375,1.0,0.0
gemma,SHARED_TAIL_s1,1,128,0.9140625,0.9140625,0.9895833333333334,0.96875,0,0,0.890625,0.9375,0.0625
gemma,SOURCE,0,128,0.9609375,0.5390625,0.9973958333333333,0.9921875,0,0,0.921875,1.0,0.0
gemma,SOURCE,1,128,0.9296875,0.5234375,0.9973958333333333,0.9921875,0,0,0.90625,0.953125,0.046875
gemma,TEXT_CORRECTION,0,128,0.9765625,0.9765625,1.0,1.0,0,0,0.953125,1.0,0.0
gemma,TEXT_CORRECTION,1,128,0.921875,0.921875,1.0,1.0,0,0,0.90625,0.9375,0.0625
gemma,V1_LATE_s0,0,128,0.7890625,0.7890625,0.640625,0.25,0,0,0.984375,0.59375,0.40625
gemma,V1_LATE_s0,1,128,0.78125,0.78125,0.640625,0.25,0,0,0.953125,0.609375,0.390625
gemma,V1_LATE_s1,0,128,0.7890625,0.7890625,0.65625,0.28125,0,0,0.96875,0.609375,0.390625
gemma,V1_LATE_s1,1,128,0.765625,0.765625,0.65625,0.28125,0,0,0.90625,0.625,0.375
