actor,condition,scope,n_scenes,n_queries,changed,harm,conditional_harm,all24,accuracy,touched_accuracy,other_address_error,preservation,nonaddressed_change,changed_by_direction,all_program_questions,accuracy_all_program_questions,all24_interval,changed_interval,harm_interval,edited_tokens,energy,frobenius,cast_error,ties,argmax_outside_labels,mean_gold_logp,coherence_ratio,by_family,by_cell,by_order,generation
gemma,SOURCE,FULL,128,6144,0.1591796875,0.0,0.0,0.00390625,0.5719401041666667,0.301171875,0.014453125,1.0,0.0,"{""0"": 0.13606770833333334, ""1"": 0.18229166666666666}",0.00390625,0.5719401041666667,"{""mean"": 0.00390625, ""lower"": 0.0, ""upper"": 0.01171875, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.1591796875, ""lower"": 0.13606770833333331, ""upper"": 0.18294270833333331, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.0, ""lower"": 0.0, ""upper"": 0.0, ""scenes"": 128, ""level"": 0.95}",,,,,0,0,-3.0788371025663075,0.01020408163265306,"{""both"": 0.533203125, ""direct"": 0.75634765625, ""either"": 0.6171875, ""opposes"": 0.5107421875, ""same"": 0.2578125}","{""(4, 2, 0)"": {""changed"": 0.16145833333333331, ""harm"": 0.0, ""all24"": 0.0}, ""(4, 2, 1)"": {""changed"": 0.09635416666666666, ""harm"": 0.0, ""all24"": 0.0}, ""(4, 3, 0)"": {""changed"": 0.17447916666666666, ""harm"": 0.0, ""all24"": 0.0}, ""(4, 3, 1)"": {""changed"": 0.16927083333333331, ""harm"": 0.0, ""all24"": 0.0}, ""(6, 2, 0)"": {""changed"": 0.13020833333333334, ""harm"": 0.0, ""all24"": 0.0}, ""(6, 2, 1)"": {""changed"": 0.1328125, ""harm"": 0.0, ""all24"": 0.0}, ""(6, 3, 0)"": {""changed"": 0.2630208333333333, ""harm"": 0.0, ""all24"": 0.03125}, ""(6, 3, 1)"": {""changed"": 0.14583333333333334, ""harm"": 0.0, ""all24"": 0.0}}","{""early"": 0.0078125, ""late"": 0.0}","{""rows"": 96, ""parse_ok"": 1.0, ""agrees_with_score"": 1.0}"
gemma,COUNTERFACTUAL,FULL,128,6144,0.8649088541666666,0.0078125,0.007919659032091096,0.3828125,0.9269205729166667,0.901171875,0.009765625000000002,0.9920803409679089,0.015625,"{""0"": 0.849609375, ""1"": 0.8802083333333333}",0.3828125,0.9269205729166667,"{""mean"": 0.3828125, ""lower"": 0.31640625, ""upper"": 0.44921875, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.8649088541666666, ""lower"": 0.8430989583333334, ""upper"": 0.8854166666666666, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.0078125, ""lower"": 0.0035807291666666665, ""upper"": 0.012695312499999998, ""scenes"": 128, ""level"": 0.95}",,,,,0,0,-0.33259508848137936,1.0,"{""both"": 0.931640625, ""direct"": 0.98876953125, ""either"": 0.9423828125, ""opposes"": 0.9501953125, ""same"": 0.759765625}","{""(4, 2, 0)"": {""changed"": 0.9036458333333333, ""harm"": 0.005208333333333333, ""all24"": 0.53125}, ""(4, 2, 1)"": {""changed"": 0.8671875, ""harm"": 0.005208333333333333, ""all24"": 0.34375}, ""(4, 3, 0)"": {""changed"": 0.8723958333333333, ""harm"": 0.013020833333333332, ""all24"": 0.46875}, ""(4, 3, 1)"": {""changed"": 0.8619791666666666, ""harm"": 0.015625, ""all24"": 0.28125}, ""(6, 2, 0)"": {""changed"": 0.9270833333333334, ""harm"": 0.0, ""all24"": 0.53125}, ""(6, 2, 1)"": {""changed"": 0.8567708333333334, ""harm"": 0.018229166666666668, ""all24"": 0.25}, ""(6, 3, 0)"": {""changed"": 0.8177083333333333, ""harm"": 0.005208333333333333, ""all24"": 0.375}, ""(6, 3, 1)"": {""changed"": 0.8125, ""harm"": 0.0, ""all24"": 0.28125}}","{""early"": 0.34375, ""late"": 0.421875}","{""rows"": 96, ""parse_ok"": 1.0, ""agrees_with_score"": 1.0}"
gemma,TEXT_CORRECTION,FULL,128,6144,0.8893229166666667,0.02734375,0.02802159061500094,0.3203125,0.9270833333333334,0.92734375,0.0359375,0.971978409384999,0.0244140625,"{""0"": 0.873046875, ""1"": 0.9055989583333333}",0.3203125,0.9270833333333334,"{""mean"": 0.3203125, ""lower"": 0.25, ""upper"": 0.39453125, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.8893229166666667, ""lower"": 0.8697916666666667, ""upper"": 0.908203125, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.02734375, ""lower"": 0.0185546875, ""upper"": 0.036783854166666664, ""scenes"": 128, ""level"": 0.95}",,,,,0,0,-0.2624081406242986,0.8367346938775511,"{""both"": 0.9501953125, ""direct"": 0.9873046875, ""either"": 0.9375, ""opposes"": 0.955078125, ""same"": 0.7451171875}","{""(4, 2, 0)"": {""changed"": 0.9192708333333333, ""harm"": 0.015625, ""all24"": 0.4375}, ""(4, 2, 1)"": {""changed"": 0.8359375, ""harm"": 0.010416666666666666, ""all24"": 0.09375}, ""(4, 3, 0)"": {""changed"": 0.8776041666666667, ""harm"": 0.05208333333333333, ""all24"": 0.25}, ""(4, 3, 1)"": {""changed"": 0.8802083333333333, ""harm"": 0.04427083333333333, ""all24"": 0.25}, ""(6, 2, 0)"": {""changed"": 0.9401041666666666, ""harm"": 0.03125, ""all24"": 0.53125}, ""(6, 2, 1)"": {""changed"": 0.9010416666666666, ""harm"": 0.010416666666666666, ""all24"": 0.4375}, ""(6, 3, 0)"": {""changed"": 0.8854166666666666, ""harm"": 0.033854166666666664, ""all24"": 0.375}, ""(6, 3, 1)"": {""changed"": 0.875, ""harm"": 0.020833333333333332, ""all24"": 0.1875}}","{""early"": 0.3046875, ""late"": 0.3359375}","{""rows"": 96, ""parse_ok"": 1.0, ""agrees_with_score"": 1.0}"
gemma,INVARIANT_SET_s0,FULL,128,6144,0.9095052083333333,0.04850260416666666,0.04946556500564653,0.4296875,0.927734375,0.93046875,0.05,0.9505344349943534,0.021484375,"{""0"": 0.9498697916666666, ""1"": 0.869140625}",0.4296875,0.927734375,"{""mean"": 0.4296875, ""lower"": 0.36328125, ""upper"": 0.49609375, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.9095052083333333, ""lower"": 0.8916015625, ""upper"": 0.9270833333333334, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.04850260416666666, ""lower"": 0.033854166666666664, ""upper"": 0.064453125, ""scenes"": 128, ""level"": 0.95}",8.7578125,44853.850006103516,210.5833573554305,0.507562170503661,0,0,-0.31299144873848156,1.1224489795918366,"{""both"": 0.880859375, ""direct"": 0.9814453125, ""either"": 0.8818359375, ""opposes"": 0.9609375, ""same"": 0.8798828125}","{""(4, 2, 0)"": {""changed"": 0.8828125, ""harm"": 0.018229166666666668, ""all24"": 0.375}, ""(4, 2, 1)"": {""changed"": 0.953125, ""harm"": 0.04947916666666666, ""all24"": 0.5}, ""(4, 3, 0)"": {""changed"": 0.8645833333333333, ""harm"": 0.010416666666666666, ""all24"": 0.40625}, ""(4, 3, 1)"": {""changed"": 0.953125, ""harm"": 0.15104166666666669, ""all24"": 0.40625}, ""(6, 2, 0)"": {""changed"": 0.8984375, ""harm"": 0.013020833333333332, ""all24"": 0.46875}, ""(6, 2, 1)"": {""changed"": 0.9296875, ""harm"": 0.07552083333333333, ""all24"": 0.4375}, ""(6, 3, 0)"": {""changed"": 0.8307291666666666, ""harm"": 0.0026041666666666665, ""all24"": 0.34375}, ""(6, 3, 1)"": {""changed"": 0.9635416666666666, ""harm"": 0.06770833333333333, ""all24"": 0.5}}","{""early"": 0.5, ""late"": 0.359375}","{""rows"": 96, ""parse_ok"": 1.0, ""agrees_with_score"": 1.0}"
gemma,INVARIANT_SET_s1,FULL,128,6144,0.923828125,0.018554687499999997,0.018859070616883116,0.5078125,0.9508463541666666,0.9460937500000001,0.01953125,0.9811409293831168,0.02734375,"{""0"": 0.9270833333333334, ""1"": 0.9205729166666666}",0.5078125,0.9508463541666666,"{""mean"": 0.5078125, ""lower"": 0.4375, ""upper"": 0.57421875, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.923828125, ""lower"": 0.90625, ""upper"": 0.9401041666666667, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.018554687499999997, ""lower"": 0.012369791666666666, ""upper"": 0.025065104166666664, ""scenes"": 128, ""level"": 0.95}",8.7578125,56313.03695678711,236.0625834308637,0.5141470091184601,0,0,-0.17913593486108,1.3265306122448979,"{""both"": 0.9228515625, ""direct"": 0.98486328125, ""either"": 0.94921875, ""opposes"": 0.970703125, ""same"": 0.892578125}","{""(4, 2, 0)"": {""changed"": 0.9401041666666666, ""harm"": 0.015625, ""all24"": 0.59375}, ""(4, 2, 1)"": {""changed"": 0.9375, ""harm"": 0.015625, ""all24"": 0.53125}, ""(4, 3, 0)"": {""changed"": 0.9192708333333333, ""harm"": 0.023437499999999997, ""all24"": 0.46875}, ""(4, 3, 1)"": {""changed"": 0.953125, ""harm"": 0.026041666666666664, ""all24"": 0.625}, ""(6, 2, 0)"": {""changed"": 0.953125, ""harm"": 0.020833333333333332, ""all24"": 0.5625}, ""(6, 2, 1)"": {""changed"": 0.9192708333333333, ""harm"": 0.026041666666666664, ""all24"": 0.4375}, ""(6, 3, 0)"": {""changed"": 0.8697916666666666, ""harm"": 0.0026041666666666665, ""all24"": 0.40625}, ""(6, 3, 1)"": {""changed"": 0.8984375, ""harm"": 0.018229166666666664, ""all24"": 0.4375}}","{""early"": 0.53125, ""late"": 0.484375}",
gemma,FREE_OVERWRITE_s0,FULL,128,6144,0.9222005208333333,0.029296875,0.02992291901938641,0.5078125,0.9443359375,0.9390624999999999,0.03125,0.9700770809806136,0.0263671875,"{""0"": 0.9459635416666667, ""1"": 0.8984375}",0.5078125,0.9443359375,"{""mean"": 0.5078125, ""lower"": 0.4375, ""upper"": 0.578125, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.9222005208333333, ""lower"": 0.9052734375, ""upper"": 0.9384765625, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.029296875, ""lower"": 0.01953125, ""upper"": 0.04036458333333333, ""scenes"": 128, ""level"": 0.95}",8.7578125,105813.65774536133,319.03247463833833,0.5204146633623168,0,0,-0.2077469304969052,1.3265306122448979,"{""both"": 0.92578125, ""direct"": 0.9892578125, ""either"": 0.927734375, ""opposes"": 0.9423828125, ""same"": 0.8916015625}","{""(4, 2, 0)"": {""changed"": 0.9583333333333333, ""harm"": 0.010416666666666666, ""all24"": 0.6875}, ""(4, 2, 1)"": {""changed"": 0.9635416666666667, ""harm"": 0.02864583333333333, ""all24"": 0.5625}, ""(4, 3, 0)"": {""changed"": 0.8802083333333333, ""harm"": 0.015625, ""all24"": 0.375}, ""(4, 3, 1)"": {""changed"": 0.9583333333333334, ""harm"": 0.0859375, ""all24"": 0.46875}, ""(6, 2, 0)"": {""changed"": 0.9192708333333334, ""harm"": 0.015625, ""all24"": 0.46875}, ""(6, 2, 1)"": {""changed"": 0.9036458333333333, ""harm"": 0.0390625, ""all24"": 0.375}, ""(6, 3, 0)"": {""changed"": 0.8359375, ""harm"": 0.0078125, ""all24"": 0.375}, ""(6, 3, 1)"": {""changed"": 0.9583333333333333, ""harm"": 0.03125, ""all24"": 0.75}}","{""early"": 0.546875, ""late"": 0.46875}","{""rows"": 96, ""parse_ok"": 1.0, ""agrees_with_score"": 1.0}"
gemma,FREE_OVERWRITE_s1,FULL,128,6144,0.8662109375,0.0205078125,0.020899687382364012,0.39453125,0.9212239583333334,0.908984375,0.019140625,0.9791003126176361,0.0283203125,"{""0"": 0.9270833333333334, ""1"": 0.8053385416666666}",0.39453125,0.9212239583333334,"{""mean"": 0.39453125, ""lower"": 0.328125, ""upper"": 0.46484375, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.8662109375, ""lower"": 0.84375, ""upper"": 0.888671875, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.0205078125, ""lower"": 0.013346354166666664, ""upper"": 0.02864583333333333, ""scenes"": 128, ""level"": 0.95}",8.7578125,59823.74730300903,232.49494449361347,0.5138506395742297,0,0,-0.33492885302610514,1.030612244897959,"{""both"": 0.8720703125, ""direct"": 0.978515625, ""either"": 0.9208984375, ""opposes"": 0.958984375, ""same"": 0.818359375}","{""(4, 2, 0)"": {""changed"": 0.8541666666666666, ""harm"": 0.010416666666666666, ""all24"": 0.4375}, ""(4, 2, 1)"": {""changed"": 0.9479166666666666, ""harm"": 0.026041666666666664, ""all24"": 0.5625}, ""(4, 3, 0)"": {""changed"": 0.7864583333333333, ""harm"": 0.0078125, ""all24"": 0.3125}, ""(4, 3, 1)"": {""changed"": 0.9375, ""harm"": 0.05208333333333333, ""all24"": 0.40625}, ""(6, 2, 0)"": {""changed"": 0.796875, ""harm"": 0.010416666666666666, ""all24"": 0.3125}, ""(6, 2, 1)"": {""changed"": 0.9036458333333333, ""harm"": 0.033854166666666664, ""all24"": 0.375}, ""(6, 3, 0)"": {""changed"": 0.7838541666666666, ""harm"": 0.0, ""all24"": 0.25}, ""(6, 3, 1)"": {""changed"": 0.9192708333333333, ""harm"": 0.0234375, ""all24"": 0.5}}","{""early"": 0.3828125, ""late"": 0.40625}",
gemma,CONTINUED_AFFINE_s0,FULL,128,6144,0.931640625,0.0576171875,0.05845350584650857,0.45703125,0.9353841145833334,0.933203125,0.0484375,0.9415464941534915,0.0283203125,"{""0"": 0.9466145833333333, ""1"": 0.9166666666666666}",0.45703125,0.9353841145833334,"{""mean"": 0.45703125, ""lower"": 0.390625, ""upper"": 0.5234375, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.931640625, ""lower"": 0.9169921875, ""upper"": 0.9459635416666666, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.0576171875, ""lower"": 0.042317708333333336, ""upper"": 0.07389322916666666, ""scenes"": 128, ""level"": 0.95}",8.7578125,138297.193359375,371.0912063116407,0.0,0,0,-0.2708843380704516,1.1938775510204083,"{""both"": 0.9287109375, ""direct"": 0.9794921875, ""either"": 0.8701171875, ""opposes"": 0.9658203125, ""same"": 0.888671875}","{""(4, 2, 0)"": {""changed"": 0.9348958333333333, ""harm"": 0.005208333333333333, ""all24"": 0.5}, ""(4, 2, 1)"": {""changed"": 0.9479166666666666, ""harm"": 0.10677083333333333, ""all24"": 0.375}, ""(4, 3, 0)"": {""changed"": 0.8984375, ""harm"": 0.018229166666666668, ""all24"": 0.53125}, ""(4, 3, 1)"": {""changed"": 0.9505208333333334, ""harm"": 0.12239583333333334, ""all24"": 0.40625}, ""(6, 2, 0)"": {""changed"": 0.9375, ""harm"": 0.015625, ""all24"": 0.53125}, ""(6, 2, 1)"": {""changed"": 0.9505208333333333, ""harm"": 0.109375, ""all24"": 0.34375}, ""(6, 3, 0)"": {""changed"": 0.8958333333333334, ""harm"": 0.0078125, ""all24"": 0.5625}, ""(6, 3, 1)"": {""changed"": 0.9375, ""harm"": 0.07552083333333334, ""all24"": 0.40625}}","{""early"": 0.5859375, ""late"": 0.328125}","{""rows"": 96, ""parse_ok"": 1.0, ""agrees_with_score"": 1.0}"
gemma,CONTINUED_AFFINE_s1,FULL,128,6144,0.9388020833333333,0.052083333333333336,0.05272926518680595,0.51953125,0.9427083333333333,0.94140625,0.039453125,0.947270734813194,0.0341796875,"{""0"": 0.94140625, ""1"": 0.9361979166666666}",0.51953125,0.9427083333333333,"{""mean"": 0.51953125, ""lower"": 0.453125, ""upper"": 0.5859375, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.9388020833333333, ""lower"": 0.9241536458333333, ""upper"": 0.9527994791666666, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.052083333333333336, ""lower"": 0.03971354166666667, ""upper"": 0.06477864583333334, ""scenes"": 128, ""level"": 0.95}",8.7578125,145666.53314208984,381.394835870245,0.0,0,0,-0.2318608966211689,1.3571428571428572,"{""both"": 0.92578125, ""direct"": 0.98583984375, ""either"": 0.8916015625, ""opposes"": 0.966796875, ""same"": 0.900390625}","{""(4, 2, 0)"": {""changed"": 0.9557291666666667, ""harm"": 0.020833333333333332, ""all24"": 0.65625}, ""(4, 2, 1)"": {""changed"": 0.9479166666666667, ""harm"": 0.06770833333333333, ""all24"": 0.46875}, ""(4, 3, 0)"": {""changed"": 0.9270833333333333, ""harm"": 0.052083333333333336, ""all24"": 0.46875}, ""(4, 3, 1)"": {""changed"": 0.9375, ""harm"": 0.08333333333333334, ""all24"": 0.40625}, ""(6, 2, 0)"": {""changed"": 0.9583333333333334, ""harm"": 0.026041666666666664, ""all24"": 0.59375}, ""(6, 2, 1)"": {""changed"": 0.9322916666666666, ""harm"": 0.07291666666666666, ""all24"": 0.4375}, ""(6, 3, 0)"": {""changed"": 0.9036458333333333, ""harm"": 0.018229166666666664, ""all24"": 0.625}, ""(6, 3, 1)"": {""changed"": 0.9479166666666667, ""harm"": 0.07552083333333334, ""all24"": 0.5}}","{""early"": 0.5625, ""late"": 0.4765625}",
gemma,FROZEN_V2_CLAUSE_s0,FULL,128,6144,0.8854166666666666,0.03873697916666666,0.039453272044984,0.39453125,0.9207356770833334,0.90546875,0.0375,0.9605467279550159,0.0185546875,"{""0"": 0.9166666666666666, ""1"": 0.8541666666666666}",0.39453125,0.9207356770833334,"{""mean"": 0.39453125, ""lower"": 0.33203125, ""upper"": 0.45703125, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.8854166666666666, ""lower"": 0.8645833333333333, ""upper"": 0.9052734375, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.03873697916666666, ""lower"": 0.02734375, ""upper"": 0.05078125, ""scenes"": 128, ""level"": 0.95}",8.7578125,139282.57974243164,372.5483929948812,0.0,0,0,-0.32553895203595484,1.030612244897959,"{""both"": 0.896484375, ""direct"": 0.97607421875, ""either"": 0.9091796875, ""opposes"": 0.935546875, ""same"": 0.8310546875}","{""(4, 2, 0)"": {""changed"": 0.8958333333333333, ""harm"": 0.010416666666666666, ""all24"": 0.4375}, ""(4, 2, 1)"": {""changed"": 0.9375, ""harm"": 0.0625, ""all24"": 0.40625}, ""(4, 3, 0)"": {""changed"": 0.796875, ""harm"": 0.0234375, ""all24"": 0.25}, ""(4, 3, 1)"": {""changed"": 0.9244791666666667, ""harm"": 0.109375, ""all24"": 0.34375}, ""(6, 2, 0)"": {""changed"": 0.8828125, ""harm"": 0.015624999999999998, ""all24"": 0.375}, ""(6, 2, 1)"": {""changed"": 0.890625, ""harm"": 0.0625, ""all24"": 0.375}, ""(6, 3, 0)"": {""changed"": 0.8411458333333334, ""harm"": 0.0026041666666666665, ""all24"": 0.4375}, ""(6, 3, 1)"": {""changed"": 0.9140625, ""harm"": 0.0234375, ""all24"": 0.53125}}","{""early"": 0.453125, ""late"": 0.3359375}","{""rows"": 96, ""parse_ok"": 1.0, ""agrees_with_score"": 1.0}"
