actor,condition,program,changed,harm,conditional_harm,all24,all_program_questions,accuracy,accuracy_all_program_questions,touched_accuracy,other_address_error,preservation,nonaddressed_change,additional_accuracy,n_scenes,disagreement_vs_single,mean_abs_dlogp_vs_single,energy,cast_error,commands,shared_from
gemma,SOURCE,single,0.23046875,0.0,0.0,0.015625,0.015625,0.6139322916666666,0.6139322916666666,0.3812500000000001,0.003125,1.0,0.0,,64,0.0,0.0,,,,[]
gemma,SOURCE,noop,,0.0,0.0,0.234375,0.234375,0.8834635416666666,0.8834635416666666,0.8187500000000001,0.0703125,1.0,0.0,,64,0.0,3.1388669161180665,,,,[]
gemma,SOURCE,repeat2,0.23046875,0.0,0.0,0.015625,0.015625,0.6139322916666666,0.6139322916666666,0.3812500000000001,0.003125,1.0,0.0,,64,0.0,0.0,,,,[]
gemma,SOURCE,repeat4,0.23046875,0.0,0.0,0.015625,0.015625,0.6139322916666666,0.6139322916666666,0.3812500000000001,0.003125,1.0,0.0,,64,0.0,0.0,,,,[]
gemma,SOURCE,repeat8,0.23046875,0.0,0.0,0.015625,0.015625,0.6139322916666666,0.6139322916666666,0.3812500000000001,0.003125,1.0,0.0,,64,0.0,0.0,,,,[]
gemma,SOURCE,restore,,0.0,0.0,0.234375,0.234375,0.8834635416666666,0.8834635416666666,0.8187500000000001,0.0703125,1.0,0.0,,64,0.0,3.1388669161180665,,,,[]
gemma,SOURCE,restore_after4,,0.0,0.0,0.234375,0.234375,0.8834635416666666,0.8834635416666666,0.8187500000000001,0.0703125,1.0,0.0,,64,0.0,3.1388669161180665,,,,[]
gemma,SOURCE,overwrite,0.23046875,0.0,0.0,0.015625,0.015625,0.6139322916666666,0.6139322916666666,0.3812500000000001,0.003125,1.0,0.0,,64,0.0,0.0,,,,[]
gemma,SOURCE,AB,0.134765625,0.0,0.0,0.0,0.0,0.44856770833333337,0.44856770833333337,0.378125,0.0,1.0,0.0,,64,0.0,2.704151493604487,,,,[]
gemma,SOURCE,BA,0.134765625,0.0,0.0,0.0,0.0,0.44856770833333337,0.44856770833333337,0.378125,0.0,1.0,0.0,,64,0.0,2.704151493604487,,,,[]
gemma,SOURCE,ABC,0.09928385416666666,0.0,0.0,0.0,0.0,0.47460937499999994,0.43870192307692313,0.378125,0.08854166666666667,1.0,0.0,0.0078125,64,0.0,3.792037461853475,,,,[]
gemma,SOURCE,CBA,0.09928385416666666,0.0,0.0,0.0,0.0,0.47460937499999994,0.43870192307692313,0.378125,0.08854166666666667,1.0,0.0,0.0078125,64,0.0,3.792037461853475,,,,[]
gemma,SOURCE,AB_cross,0.23046875,0.0,0.0,0.015625,0.0,0.6139322916666666,0.5667067307692308,0.3812500000000001,0.003125,1.0,0.0,0.0,64,0.0,5.767626779136966e-07,,,,[]
gemma,NATURAL_FINAL_WORLD,single,0.84765625,0.0,0.0,0.375,0.375,0.9225260416666666,0.9225260416666666,0.89375,0.003125,1.0,0.0,,64,0.0,0.0,,,,[]
gemma,NATURAL_FINAL_WORLD,noop,,0.0,0.0,0.234375,0.234375,0.8834635416666666,0.8834635416666666,0.8187500000000001,0.0703125,1.0,0.0,,64,0.30859375,0.9454426893531954,,,,[]
gemma,NATURAL_FINAL_WORLD,repeat2,0.84765625,0.0,0.0,0.375,0.375,0.9225260416666666,0.9225260416666666,0.89375,0.003125,1.0,0.0,,64,0.0,0.0,,,,[]
gemma,NATURAL_FINAL_WORLD,repeat4,0.84765625,0.0,0.0,0.375,0.375,0.9225260416666666,0.9225260416666666,0.89375,0.003125,1.0,0.0,,64,0.0,0.0,,,,[]
gemma,NATURAL_FINAL_WORLD,repeat8,0.84765625,0.0,0.0,0.375,0.375,0.9225260416666666,0.9225260416666666,0.89375,0.003125,1.0,0.0,,64,0.0,0.0,,,,[]
