actor,condition,acc_direct,acc_opposes,acc_same,acc_both,acc_either,direct_negation_changed,direct_negation_harm,direct_negation_all_correct,equality_changed,boolean_changed
gemma,SOURCE,0.75634765625,0.5107421875,0.2578125,0.533203125,0.6171875,0.0556640625,0.0,0.02734375,0.2578125,0.1640625
gemma,COUNTERFACTUAL,0.98876953125,0.9501953125,0.759765625,0.931640625,0.9423828125,0.9501953125,0.00634765625,0.8671875,0.759765625,0.884765625
gemma,TEXT_CORRECTION,0.9873046875,0.955078125,0.7451171875,0.9501953125,0.9375,1.0,0.0234375,0.83203125,0.7451171875,0.9228515625
gemma,INVARIANT_SET_s0,0.9814453125,0.9609375,0.8798828125,0.880859375,0.8818359375,0.9892578125,0.0244140625,0.84765625,0.8798828125,0.859375
gemma,INVARIANT_SET_s1,0.98486328125,0.970703125,0.892578125,0.9228515625,0.94921875,0.98046875,0.0146484375,0.8671875,0.892578125,0.8984375
gemma,FREE_OVERWRITE_s0,0.9892578125,0.9423828125,0.8916015625,0.92578125,0.927734375,0.9716796875,0.01904296875,0.8359375,0.8916015625,0.9033203125
gemma,FREE_OVERWRITE_s1,0.978515625,0.958984375,0.818359375,0.8720703125,0.9208984375,0.955078125,0.0146484375,0.8359375,0.818359375,0.8251953125
gemma,CONTINUED_AFFINE_s0,0.9794921875,0.9658203125,0.888671875,0.9287109375,0.8701171875,0.9755859375,0.0205078125,0.828125,0.888671875,0.9306640625
gemma,CONTINUED_AFFINE_s1,0.98583984375,0.966796875,0.900390625,0.92578125,0.8916015625,0.9833984375,0.0205078125,0.85546875,0.900390625,0.9326171875
gemma,FROZEN_V2_CLAUSE_s0,0.97607421875,0.935546875,0.8310546875,0.896484375,0.9091796875,0.9404296875,0.0185546875,0.80859375,0.8310546875,0.884765625
gemma,FROZEN_V2_CLAUSE_s1,0.96044921875,0.947265625,0.77734375,0.8818359375,0.8984375,0.9638671875,0.04296875,0.74609375,0.77734375,0.861328125
gemma,FROZEN_V2_CLAUSE_FP32_s0,0.97607421875,0.935546875,0.8310546875,0.896484375,0.9091796875,0.9404296875,0.0185546875,0.80859375,0.8310546875,0.884765625
gemma,FROZEN_V2_CLAUSE_FP32_s1,0.96044921875,0.947265625,0.77734375,0.8818359375,0.8984375,0.9638671875,0.04296875,0.74609375,0.77734375,0.861328125
gemma,FROZEN_V2_TAIL_s0,0.9775390625,0.931640625,0.791015625,0.9091796875,0.9443359375,0.955078125,0.02880859375,0.765625,0.791015625,0.935546875
gemma,FROZEN_V2_TAIL_s1,0.9755859375,0.935546875,0.830078125,0.9091796875,0.953125,0.9609375,0.0302734375,0.79296875,0.830078125,0.8974609375
qwen,SOURCE,0.724609375,0.501953125,0.388671875,0.48046875,0.705078125,0.109375,0.0,0.0,0.388671875,0.21875
qwen,COUNTERFACTUAL,0.9375,0.8984375,0.6015625,0.88671875,0.837890625,0.916015625,0.0302734375,0.5078125,0.6015625,0.767578125
qwen,TEXT_CORRECTION,0.92578125,0.9296875,0.546875,0.890625,0.818359375,1.0,0.0693359375,0.5234375,0.546875,0.744140625
qwen,INVARIANT_SET_s0,0.9404296875,0.94140625,0.708984375,0.92578125,0.8671875,0.984375,0.044921875,0.59375,0.708984375,0.939453125
qwen,INVARIANT_SET_s1,0.9228515625,0.95703125,0.75,0.943359375,0.87109375,0.974609375,0.0498046875,0.5859375,0.75,0.91796875
qwen,FREE_OVERWRITE_s0,0.9365234375,0.931640625,0.71484375,0.892578125,0.787109375,0.98046875,0.056640625,0.5703125,0.71484375,0.884765625
qwen,FREE_OVERWRITE_s1,0.939453125,0.931640625,0.65234375,0.953125,0.841796875,0.970703125,0.05078125,0.578125,0.65234375,0.908203125
qwen,AFFINE_CLAUSE_s0,0.9345703125,0.93359375,0.65234375,0.931640625,0.8671875,0.947265625,0.0380859375,0.6328125,0.65234375,0.8515625
qwen,AFFINE_CLAUSE_s1,0.939453125,0.923828125,0.6171875,0.943359375,0.85546875,0.94921875,0.0400390625,0.609375,0.6171875,0.865234375
