actor,condition,program,n,max_workspace,mean_workspace,max_bf16,hash_equal_single_fraction
gemma,CANONICAL_V2_s0,AB,64,,,,0.0
gemma,CANONICAL_V2_s0,ABC,64,,,,0.0
gemma,CANONICAL_V2_s0,AB_cross,64,,,,0.0
gemma,CANONICAL_V2_s0,BA,64,,,,0.0
gemma,CANONICAL_V2_s0,CBA,64,,,,0.0
gemma,CANONICAL_V2_s0,noop,64,12.21875,11.364990234375,12.21875,0.0
gemma,CANONICAL_V2_s0,overwrite,64,0.0,0.0,0.0,1.0
gemma,CANONICAL_V2_s0,repeat2,64,0.0,0.0,0.0,1.0
gemma,CANONICAL_V2_s0,repeat4,64,0.0,0.0,0.0,1.0
gemma,CANONICAL_V2_s0,repeat8,64,0.0,0.0,0.0,1.0
gemma,CANONICAL_V2_s0,restore,64,12.21875,11.364990234375,12.21875,0.0
gemma,CANONICAL_V2_s0,restore_after4,64,12.21875,11.364990234375,12.21875,0.0
gemma,CANONICAL_V2_s1,AB,64,,,,0.0
gemma,CANONICAL_V2_s1,ABC,64,,,,0.0
gemma,CANONICAL_V2_s1,AB_cross,64,,,,0.0
gemma,CANONICAL_V2_s1,BA,64,,,,0.0
gemma,CANONICAL_V2_s1,CBA,64,,,,0.0
gemma,CANONICAL_V2_s1,noop,64,11.3125,10.9449462890625,11.3125,0.0
gemma,CANONICAL_V2_s1,overwrite,64,0.0,0.0,0.0,1.0
gemma,CANONICAL_V2_s1,repeat2,64,0.0,0.0,0.0,1.0
gemma,CANONICAL_V2_s1,repeat4,64,0.0,0.0,0.0,1.0
gemma,CANONICAL_V2_s1,repeat8,64,0.0,0.0,0.0,1.0
gemma,CANONICAL_V2_s1,restore,64,11.3125,10.9449462890625,11.3125,0.0
gemma,CANONICAL_V2_s1,restore_after4,64,11.3125,10.9449462890625,11.3125,0.0
gemma,CONTINUED_AFFINE_s0,AB,64,,,,0.0
gemma,CONTINUED_AFFINE_s0,ABC,64,,,,0.0
gemma,CONTINUED_AFFINE_s0,AB_cross,64,,,,0.0
