actor,condition,arm,coverage,lr,seed,checkpoint,cal_changed,cal_harm,cal_all24,cal_all_program_questions,cal_dir0,cal_dir1,cal_by_family,cal_sparse_changed,cal_sparse_harm,cal_sparse_all12,feasible,selected,train_loss,reg_train,steps,slots,train_seconds,eval_seconds,realized_norm,frobenius
gemma,INV_SPARSE_CONTINUE,INVARIANT_SET,sparse,0.0003,0,0,0.9236111111111112,0.022569444444444444,0.4791666666666667,0.4791666666666667,0.96875,0.8784722222222223,"{""both"": 0.9125, ""direct"": 0.99375, ""either"": 0.9333333333333333, ""opposes"": 0.9916666666666667, ""same"": 0.8916666666666667}",0.9722222222222222,0.016203703703703703,0.7916666666666666,True,True,,,0,0,0.0,24.425472896999963,63.47452931741456,199.0072063591691
gemma,INV_SPARSE_CONTINUE,INVARIANT_SET,sparse,0.0003,0,1,0.9253472222222223,0.024884259259259255,0.4583333333333333,0.4583333333333333,0.9131944444444445,0.9375,"{""both"": 0.9583333333333334, ""direct"": 0.9895833333333334, ""either"": 0.9125, ""opposes"": 0.9916666666666667, ""same"": 0.8541666666666666}",0.96875,0.011574074074074075,0.8333333333333334,True,False,0.0070406832581018835,0.003449594499640322,720,2880,168.89277051499994,24.35438610300025,55.43107038063939,182.33217374237884
gemma,INV_SPARSE_CONTINUE,INVARIANT_SET,sparse,0.0003,0,2,0.9288194444444443,0.01736111111111111,0.4166666666666667,0.4166666666666667,0.9340277777777778,0.923611111111111,"{""both"": 0.9583333333333334, ""direct"": 0.9979166666666667, ""either"": 0.9333333333333333, ""opposes"": 0.9958333333333333, ""same"": 0.8416666666666667}",0.9756944444444443,0.006944444444444444,0.8541666666666666,True,False,0.00318064956715034,0.002546454190370342,1440,5760,167.06249064199983,24.349540611000066,44.72357082913984,149.53739309859733
gemma,INV_SPARSE_CONTINUE,INVARIANT_SET,sparse,0.0003,1,0,0.9010416666666666,0.014467592592592593,0.4791666666666667,0.4791666666666667,0.9444444444444445,0.857638888888889,"{""both"": 0.9166666666666666, ""direct"": 0.99375, ""either"": 0.9541666666666667, ""opposes"": 0.9958333333333333, ""same"": 0.8208333333333333}",0.9513888888888888,0.010416666666666666,0.7708333333333334,True,False,,,0,0,0.0,24.415023167000072,75.00290037341145,228.52899098896322
gemma,INV_SPARSE_CONTINUE,INVARIANT_SET,sparse,0.0003,1,1,0.9305555555555555,0.013310185185185187,0.5833333333333334,0.5833333333333334,0.9444444444444445,0.9166666666666666,"{""both"": 0.9416666666666667, ""direct"": 0.9958333333333333, ""either"": 0.9625, ""opposes"": 0.9916666666666667, ""same"": 0.8666666666666667}",0.982638888888889,0.013888888888888888,0.8333333333333334,True,False,0.00906433244403628,0.004038240005482092,720,2880,166.5700823510001,24.552688988999762,50.28492539334707,165.9102689611218
gemma,INV_SPARSE_CONTINUE,INVARIANT_SET,sparse,0.0003,1,2,0.954861111111111,0.031249999999999997,0.5833333333333334,0.5833333333333334,0.9861111111111112,0.9236111111111112,"{""both"": 0.9708333333333333, ""direct"": 1.0, ""either"": 0.925, ""opposes"": 1.0, ""same"": 0.8666666666666667}",0.9791666666666666,0.0023148148148148147,0.8958333333333334,True,True,0.002353299767118718,0.002435368952056807,1440,5760,168.73236070700023,24.38566705700032,45.32445302748088,160.49544469364537
gemma,INV_COMPLETE_SINGLE,INVARIANT_SET,complete,0.0003,0,0,0.9236111111111112,0.022569444444444448,0.4791666666666667,0.4791666666666667,0.96875,0.8784722222222223,"{""both"": 0.9125, ""direct"": 0.99375, ""either"": 0.9333333333333333, ""opposes"": 0.9916666666666667, ""same"": 0.8916666666666667}",0.9722222222222223,0.016203703703703703,0.7916666666666666,True,False,,,0,0,0.0,24.373771381000097,63.47452931741456,199.00720635916912
gemma,INV_COMPLETE_SINGLE,INVARIANT_SET,complete,0.0003,0,1,0.9409722222222223,0.010995370370370369,0.6041666666666666,0.6041666666666666,0.9166666666666666,0.9652777777777778,"{""both"": 0.9833333333333333, ""direct"": 0.9895833333333334, ""either"": 0.975, ""opposes"": 0.9791666666666666, ""same"": 0.8791666666666667}",0.9583333333333334,0.01273148148148148,0.8125,True,True,0.015359649160366947,0.004239780042229945,720,2880,166.570462744,24.505284589999974,58.10996929591746,187.80554793662168
gemma,INV_COMPLETE_SINGLE,INVARIANT_SET,complete,0.0003,0,2,0.9496527777777778,0.007523148148148148,0.5833333333333334,0.5833333333333334,0.9270833333333334,0.9722222222222222,"{""both"": 0.975, ""direct"": 0.9958333333333333, ""either"": 0.9833333333333333, ""opposes"": 0.9875, ""same"": 0.8833333333333333}",0.9583333333333334,0.003472222222222222,0.8125,True,False,0.0036860786769895844,0.0034367561393689053,1440,5760,168.235236988,24.34513746199991,47.88567179977096,160.10933964168402
gemma,INV_COMPLETE_SINGLE,INVARIANT_SET,complete,0.0003,1,0,0.9010416666666666,0.014467592592592594,0.4791666666666667,0.4791666666666667,0.9444444444444443,0.857638888888889,"{""both"": 0.9166666666666666, ""direct"": 0.99375, ""either"": 0.9541666666666667, ""opposes"": 0.9958333333333333, ""same"": 0.8208333333333333}",0.951388888888889,0.010416666666666666,0.7708333333333334,True,False,,,0,0,0.0,24.355060377999507,75.00290037341145,228.52899098896324
