actor,condition,n_scenes,n_queries,changed,harm,conditional_harm,all24,accuracy,touched_accuracy,other_address_error,preservation,nonaddressed_change,changed_by_direction,all_program_questions,accuracy_all_program_questions,all24_interval,changed_interval,harm_interval,edited_tokens,energy,frobenius,cast_error,ties,argmax_outside_labels,mean_gold_logp,coherence_ratio,by_family,by_cell,by_order,generation
gemma,SOURCE,128,6144,0.15559895833333331,0.0,0.0,0.0,0.5725911458333333,0.308203125,0.00859375,1.0,0.0,"{""0"": 0.11979166666666667, ""1"": 0.19140625}",0.0,0.5725911458333333,"{""mean"": 0.0, ""lower"": 0.0, ""upper"": 0.0, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.15559895833333331, ""lower"": 0.13085937500000003, ""upper"": 0.18098958333333331, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.0, ""lower"": 0.0, ""upper"": 0.0, ""scenes"": 128, ""level"": 0.95}",,,,,0,0,-3.0963705076099317,0.0,"{""both"": 0.5654296875, ""direct"": 0.75537109375, ""either"": 0.5537109375, ""opposes"": 0.533203125, ""same"": 0.2724609375}","{""(4, 2, 0)"": {""changed"": 0.16145833333333334, ""harm"": 0.0, ""all24"": 0.0}, ""(4, 2, 1)"": {""changed"": 0.12239583333333333, ""harm"": 0.0, ""all24"": 0.0}, ""(4, 3, 0)"": {""changed"": 0.20572916666666666, ""harm"": 0.0, ""all24"": 0.0}, ""(4, 3, 1)"": {""changed"": 0.12239583333333331, ""harm"": 0.0, ""all24"": 0.0}, ""(6, 2, 0)"": {""changed"": 0.1953125, ""harm"": 0.0, ""all24"": 0.0}, ""(6, 2, 1)"": {""changed"": 0.0859375, ""harm"": 0.0, ""all24"": 0.0}, ""(6, 3, 0)"": {""changed"": 0.203125, ""harm"": 0.0, ""all24"": 0.0}, ""(6, 3, 1)"": {""changed"": 0.1484375, ""harm"": 0.0, ""all24"": 0.0}}","{""early"": 0.0, ""late"": 0.0}","{""rows"": 96, ""parse_ok"": 1.0, ""agrees_with_score"": 1.0}"
gemma,COUNTERFACTUAL,128,6144,0.8531901041666666,0.011067708333333332,0.011400407283648845,0.38671875,0.9189453125,0.8890625,0.0140625,0.9885995927163511,0.0068359375,"{""0"": 0.8131510416666667, ""1"": 0.8932291666666666}",0.38671875,0.9189453125,"{""mean"": 0.38671875, ""lower"": 0.3203125, ""upper"": 0.45703125, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.8531901041666666, ""lower"": 0.8297526041666667, ""upper"": 0.8756510416666667, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.011067708333333332, ""lower"": 0.005859375, ""upper"": 0.016927083333333332, ""scenes"": 128, ""level"": 0.95}",,,,,0,0,-0.38555319446108643,1.0,"{""both"": 0.91796875, ""direct"": 0.98681640625, ""either"": 0.91015625, ""opposes"": 0.9541015625, ""same"": 0.7578125}","{""(4, 2, 0)"": {""changed"": 0.9244791666666666, ""harm"": 0.005208333333333333, ""all24"": 0.65625}, ""(4, 2, 1)"": {""changed"": 0.8671875, ""harm"": 0.020833333333333332, ""all24"": 0.375}, ""(4, 3, 0)"": {""changed"": 0.9010416666666666, ""harm"": 0.010416666666666666, ""all24"": 0.65625}, ""(4, 3, 1)"": {""changed"": 0.8255208333333334, ""harm"": 0.018229166666666664, ""all24"": 0.09375}, ""(6, 2, 0)"": {""changed"": 0.9192708333333333, ""harm"": 0.005208333333333333, ""all24"": 0.625}, ""(6, 2, 1)"": {""changed"": 0.7838541666666666, ""harm"": 0.005208333333333333, ""all24"": 0.15625}, ""(6, 3, 0)"": {""changed"": 0.828125, ""harm"": 0.0078125, ""all24"": 0.3125}, ""(6, 3, 1)"": {""changed"": 0.7760416666666667, ""harm"": 0.015625, ""all24"": 0.21875}}","{""early"": 0.3984375, ""late"": 0.375}","{""rows"": 96, ""parse_ok"": 1.0, ""agrees_with_score"": 1.0}"
gemma,TEXT_CORRECTION,128,6144,0.8544921875,0.029296875,0.02991615688492476,0.3046875,0.91064453125,0.88203125,0.023828125,0.9700838431150753,0.0205078125,"{""0"": 0.8014322916666667, ""1"": 0.9075520833333334}",0.3046875,0.91064453125,"{""mean"": 0.3046875, ""lower"": 0.234375, ""upper"": 0.375, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.8544921875, ""lower"": 0.8310546875, ""upper"": 0.876953125, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.029296875, ""lower"": 0.01953125, ""upper"": 0.04036458333333333, ""scenes"": 128, ""level"": 0.95}",,,,,0,0,-0.34110111114868147,0.7878787878787878,"{""both"": 0.912109375, ""direct"": 0.9892578125, ""either"": 0.890625, ""opposes"": 0.986328125, ""same"": 0.6962890625}","{""(4, 2, 0)"": {""changed"": 0.9140625, ""harm"": 0.05208333333333333, ""all24"": 0.3125}, ""(4, 2, 1)"": {""changed"": 0.8229166666666667, ""harm"": 0.005208333333333333, ""all24"": 0.375}, ""(4, 3, 0)"": {""changed"": 0.9088541666666667, ""harm"": 0.049479166666666664, ""all24"": 0.46875}, ""(4, 3, 1)"": {""changed"": 0.8072916666666667, ""harm"": 0.013020833333333332, ""all24"": 0.09375}, ""(6, 2, 0)"": {""changed"": 0.9192708333333334, ""harm"": 0.041666666666666664, ""all24"": 0.53125}, ""(6, 2, 1)"": {""changed"": 0.7942708333333334, ""harm"": 0.005208333333333333, ""all24"": 0.15625}, ""(6, 3, 0)"": {""changed"": 0.8880208333333334, ""harm"": 0.05729166666666666, ""all24"": 0.40625}, ""(6, 3, 1)"": {""changed"": 0.78125, ""harm"": 0.010416666666666666, ""all24"": 0.09375}}","{""early"": 0.3125, ""late"": 0.296875}","{""rows"": 96, ""parse_ok"": 1.0, ""agrees_with_score"": 1.0}"
gemma,INV_SPARSE_CONTINUE_s0,128,6144,0.9088541666666667,0.027669270833333336,0.028294782782053947,0.48046875,0.9388020833333334,0.9460937500000001,0.02890625,0.9717052172179461,0.005859375,"{""0"": 0.93359375, ""1"": 0.8841145833333334}",0.48046875,0.9388020833333334,"{""mean"": 0.48046875, ""lower"": 0.41015625, ""upper"": 0.55078125, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.9088541666666667, ""lower"": 0.8902994791666666, ""upper"": 0.9264322916666666, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.027669270833333336, ""lower"": 0.017903645833333336, ""upper"": 0.03841145833333333, ""scenes"": 128, ""level"": 0.95}",8.890625,45058.48641204834,210.79775758265956,0.5044197115348652,0,0,-0.24415803087252552,1.2424242424242424,"{""both"": 0.8896484375, ""direct"": 0.99560546875, ""either"": 0.91796875, ""opposes"": 0.96875, ""same"": 0.865234375}","{""(4, 2, 0)"": {""changed"": 0.890625, ""harm"": 0.0026041666666666665, ""all24"": 0.5}, ""(4, 2, 1)"": {""changed"": 0.9322916666666666, ""harm"": 0.049479166666666664, ""all24"": 0.40625}, ""(4, 3, 0)"": {""changed"": 0.8958333333333333, ""harm"": 0.0078125, ""all24"": 0.5625}, ""(4, 3, 1)"": {""changed"": 0.9557291666666667, ""harm"": 0.07031249999999999, ""all24"": 0.5625}, ""(6, 2, 0)"": {""changed"": 0.8932291666666667, ""harm"": 0.0, ""all24"": 0.53125}, ""(6, 2, 1)"": {""changed"": 0.9166666666666666, ""harm"": 0.020833333333333332, ""all24"": 0.53125}, ""(6, 3, 0)"": {""changed"": 0.8567708333333334, ""harm"": 0.0078125, ""all24"": 0.40625}, ""(6, 3, 1)"": {""changed"": 0.9296875, ""harm"": 0.0625, ""all24"": 0.34375}}","{""early"": 0.578125, ""late"": 0.3828125}","{""rows"": 96, ""parse_ok"": 1.0, ""agrees_with_score"": 1.0}"
gemma,INV_SPARSE_CONTINUE_s1,128,6144,0.9189453125,0.04231770833333333,0.0430836675897996,0.46875,0.9368489583333333,0.938671875,0.036718749999999994,0.9569163324102004,0.0244140625,"{""0"": 0.9440104166666667, ""1"": 0.8938802083333333}",0.46875,0.9368489583333333,"{""mean"": 0.46875, ""lower"": 0.40625, ""upper"": 0.53125, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.9189453125, ""lower"": 0.9046223958333333, ""upper"": 0.9322916666666667, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.04231770833333333, ""lower"": 0.032877604166666664, ""upper"": 0.05240885416666666, ""scenes"": 128, ""level"": 0.95}",8.890625,33917.83306121826,181.3378056443147,0.4756222148425877,0,0,-0.24082094822286018,1.2121212121212122,"{""both"": 0.9169921875, ""direct"": 0.98828125, ""either"": 0.955078125, ""opposes"": 0.9638671875, ""same"": 0.80859375}","{""(4, 2, 0)"": {""changed"": 0.890625, ""harm"": 0.05729166666666666, ""all24"": 0.3125}, ""(4, 2, 1)"": {""changed"": 0.9401041666666667, ""harm"": 0.03645833333333333, ""all24"": 0.40625}, ""(4, 3, 0)"": {""changed"": 0.9088541666666667, ""harm"": 0.044270833333333336, ""all24"": 0.5625}, ""(4, 3, 1)"": {""changed"": 0.9401041666666667, ""harm"": 0.046875, ""all24"": 0.40625}, ""(6, 2, 0)"": {""changed"": 0.9114583333333334, ""harm"": 0.0546875, ""all24"": 0.5}, ""(6, 2, 1)"": {""changed"": 0.9557291666666666, ""harm"": 0.0234375, ""all24"": 0.5625}, ""(6, 3, 0)"": {""changed"": 0.8645833333333333, ""harm"": 0.046875, ""all24"": 0.4375}, ""(6, 3, 1)"": {""changed"": 0.9401041666666666, ""harm"": 0.028645833333333332, ""all24"": 0.5625}}","{""early"": 0.6015625, ""late"": 0.3359375}",
gemma,INV_COMPLETE_SINGLE_s0,128,6144,0.91015625,0.011067708333333332,0.011571734038034808,0.53515625,0.94873046875,0.9378906250000001,0.010546875,0.9884282659619652,0.0078125,"{""0"": 0.888671875, ""1"": 0.931640625}",0.53515625,0.94873046875,"{""mean"": 0.53515625, ""lower"": 0.46484375, ""upper"": 0.60546875, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.91015625, ""lower"": 0.8909505208333335, ""upper"": 0.927734375, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.011067708333333332, ""lower"": 0.005859375, ""upper"": 0.017252604166666664, ""scenes"": 128, ""level"": 0.95}",8.890625,39245.571517944336,195.357116180071,0.49355629622004926,0,0,-0.1882878462067928,1.3838383838383839,"{""both"": 0.9287109375, ""direct"": 0.99462890625, ""either"": 0.939453125, ""opposes"": 0.9814453125, ""same"": 0.853515625}","{""(4, 2, 0)"": {""changed"": 0.9661458333333333, ""harm"": 0.010416666666666666, ""all24"": 0.75}, ""(4, 2, 1)"": {""changed"": 0.9114583333333334, ""harm"": 0.005208333333333333, ""all24"": 0.5625}, ""(4, 3, 0)"": {""changed"": 0.9401041666666666, ""harm"": 0.03385416666666667, ""all24"": 0.625}, ""(4, 3, 1)"": {""changed"": 0.921875, ""harm"": 0.005208333333333333, ""all24"": 0.46875}, ""(6, 2, 0)"": {""changed"": 0.9427083333333333, ""harm"": 0.0, ""all24"": 0.6875}, ""(6, 2, 1)"": {""changed"": 0.8645833333333333, ""harm"": 0.005208333333333333, ""all24"": 0.4375}, ""(6, 3, 0)"": {""changed"": 0.8776041666666666, ""harm"": 0.018229166666666664, ""all24"": 0.46875}, ""(6, 3, 1)"": {""changed"": 0.8567708333333333, ""harm"": 0.010416666666666666, ""all24"": 0.28125}}","{""early"": 0.53125, ""late"": 0.5390625}","{""rows"": 96, ""parse_ok"": 1.0, ""agrees_with_score"": 1.0}"
gemma,INV_COMPLETE_SINGLE_s1,128,6144,0.9111328125,0.020833333333333332,0.021349683729457038,0.546875,0.9440104166666667,0.926953125,0.01796875,0.978650316270543,0.0205078125,"{""0"": 0.8639322916666667, ""1"": 0.9583333333333334}",0.546875,0.9440104166666667,"{""mean"": 0.546875, ""lower"": 0.4765625, ""upper"": 0.6171875, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.9111328125, ""lower"": 0.8909505208333333, ""upper"": 0.9296875, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.020833333333333332, ""lower"": 0.013997395833333332, ""upper"": 0.027994791666666668, ""scenes"": 128, ""level"": 0.95}",8.890625,44078.639877319336,208.18622943297973,0.4799354712013155,0,0,-0.1998548218717439,1.4141414141414141,"{""both"": 0.9404296875, ""direct"": 0.9892578125, ""either"": 0.9287109375, ""opposes"": 0.984375, ""same"": 0.83203125}","{""(4, 2, 0)"": {""changed"": 0.9739583333333334, ""harm"": 0.03125, ""all24"": 0.6875}, ""(4, 2, 1)"": {""changed"": 0.8723958333333334, ""harm"": 0.010416666666666666, ""all24"": 0.5}, ""(4, 3, 0)"": {""changed"": 0.9661458333333333, ""harm"": 0.049479166666666664, ""all24"": 0.71875}, ""(4, 3, 1)"": {""changed"": 0.8854166666666667, ""harm"": 0.0, ""all24"": 0.375}, ""(6, 2, 0)"": {""changed"": 0.9739583333333334, ""harm"": 0.0234375, ""all24"": 0.6875}, ""(6, 2, 1)"": {""changed"": 0.8567708333333334, ""harm"": 0.0078125, ""all24"": 0.4375}, ""(6, 3, 0)"": {""changed"": 0.9192708333333333, ""harm"": 0.041666666666666664, ""all24"": 0.6875}, ""(6, 3, 1)"": {""changed"": 0.8411458333333333, ""harm"": 0.0026041666666666665, ""all24"": 0.28125}}","{""early"": 0.6796875, ""late"": 0.4140625}",
gemma,FREE_SPARSE_CONTINUE_s0,128,6144,0.9130859375,0.017578125,0.01804280649746897,0.5390625,0.9464518229166667,0.941015625,0.0171875,0.981957193502531,0.013671875,"{""0"": 0.9264322916666666, ""1"": 0.8997395833333334}",0.5390625,0.9464518229166667,"{""mean"": 0.5390625, ""lower"": 0.46875, ""upper"": 0.609375, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.9130859375, ""lower"": 0.8929036458333333, ""upper"": 0.931640625, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.017578125, ""lower"": 0.010091145833333332, ""upper"": 0.0263671875, ""scenes"": 128, ""level"": 0.95}",8.890625,104806.9390411377,317.4285717024542,0.5120104610687122,0,0,-0.211796672702266,1.393939393939394,"{""both"": 0.9228515625, ""direct"": 0.99169921875, ""either"": 0.9267578125, ""opposes"": 0.9736328125, ""same"": 0.8720703125}","{""(4, 2, 0)"": {""changed"": 0.9375, ""harm"": 0.005208333333333333, ""all24"": 0.65625}, ""(4, 2, 1)"": {""changed"": 0.9348958333333333, ""harm"": 0.033854166666666664, ""all24"": 0.46875}, ""(4, 3, 0)"": {""changed"": 0.9114583333333333, ""harm"": 0.0078125, ""all24"": 0.65625}, ""(4, 3, 1)"": {""changed"": 0.9479166666666667, ""harm"": 0.04687499999999999, ""all24"": 0.5625}, ""(6, 2, 0)"": {""changed"": 0.9166666666666666, ""harm"": 0.010416666666666666, ""all24"": 0.5}, ""(6, 2, 1)"": {""changed"": 0.9010416666666667, ""harm"": 0.005208333333333333, ""all24"": 0.53125}, ""(6, 3, 0)"": {""changed"": 0.8333333333333333, ""harm"": 0.010416666666666666, ""all24"": 0.40625}, ""(6, 3, 1)"": {""changed"": 0.921875, ""harm"": 0.020833333333333336, ""all24"": 0.53125}}","{""early"": 0.546875, ""late"": 0.53125}","{""rows"": 96, ""parse_ok"": 1.0, ""agrees_with_score"": 1.0}"
gemma,FREE_SPARSE_CONTINUE_s1,128,6144,0.8828125,0.011393229166666666,0.011841929196137576,0.44140625,0.9353841145833333,0.91640625,0.008203125,0.9881580708038624,0.013671875,"{""0"": 0.8430989583333334, ""1"": 0.9225260416666667}",0.44140625,0.9353841145833333,"{""mean"": 0.44140625, ""lower"": 0.375, ""upper"": 0.5078125, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.8828125, ""lower"": 0.8623046875, ""upper"": 0.9020182291666667, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.011393229166666666, ""lower"": 0.006510416666666666, ""upper"": 0.016927083333333332, ""scenes"": 128, ""level"": 0.95}",8.890625,114968.43580627441,334.00077559734956,0.5340619009220973,0,0,-0.2108894021185724,1.1414141414141414,"{""both"": 0.9287109375, ""direct"": 0.9873046875, ""either"": 0.916015625, ""opposes"": 0.97265625, ""same"": 0.8203125}","{""(4, 2, 0)"": {""changed"": 0.9244791666666666, ""harm"": 0.013020833333333332, ""all24"": 0.53125}, ""(4, 2, 1)"": {""changed"": 0.859375, ""harm"": 0.005208333333333333, ""all24"": 0.4375}, ""(4, 3, 0)"": {""changed"": 0.9427083333333333, ""harm"": 0.005208333333333333, ""all24"": 0.65625}, ""(4, 3, 1)"": {""changed"": 0.8880208333333333, ""harm"": 0.0078125, ""all24"": 0.4375}, ""(6, 2, 0)"": {""changed"": 0.9270833333333334, ""harm"": 0.015625, ""all24"": 0.5625}, ""(6, 2, 1)"": {""changed"": 0.7786458333333334, ""harm"": 0.005208333333333333, ""all24"": 0.1875}, ""(6, 3, 0)"": {""changed"": 0.8958333333333333, ""harm"": 0.02864583333333333, ""all24"": 0.5}, ""(6, 3, 1)"": {""changed"": 0.8463541666666666, ""harm"": 0.010416666666666666, ""all24"": 0.21875}}","{""early"": 0.4921875, ""late"": 0.390625}",
gemma,FREE_COMPLETE_SINGLE_s0,128,6144,0.93359375,0.011393229166666666,0.01179872505807503,0.62109375,0.9606119791666666,0.9566406249999999,0.009765625,0.9882012749419249,0.0107421875,"{""0"": 0.9375, ""1"": 0.9296875}",0.62109375,0.9606119791666666,"{""mean"": 0.62109375, ""lower"": 0.55078125, ""upper"": 0.6875, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.93359375, ""lower"": 0.9169921875, ""upper"": 0.9485677083333333, ""scenes"": 128, ""level"": 0.95}","{""mean"": 0.011393229166666666, ""lower"": 0.006510416666666666, ""upper"": 0.017252604166666664, ""scenes"": 128, ""level"": 0.95}",8.890625,70548.03993225098,255.68251755530318,0.4988179858773947,0,0,-0.12849137910777278,1.606060606060606,"{""both"": 0.9404296875, ""direct"": 0.99609375, ""either"": 0.9541015625, ""opposes"": 0.9833984375, ""same"": 0.8935546875}","{""(4, 2, 0)"": {""changed"": 0.9765625, ""harm"": 0.013020833333333332, ""all24"": 0.75}, ""(4, 2, 1)"": {""changed"": 0.9479166666666666, ""harm"": 0.015625, ""all24"": 0.59375}, ""(4, 3, 0)"": {""changed"": 0.9270833333333333, ""harm"": 0.018229166666666664, ""all24"": 0.6875}, ""(4, 3, 1)"": {""changed"": 0.953125, ""harm"": 0.013020833333333332, ""all24"": 0.625}, ""(6, 2, 0)"": {""changed"": 0.9375, ""harm"": 0.005208333333333333, ""all24"": 0.625}, ""(6, 2, 1)"": {""changed"": 0.9244791666666666, ""harm"": 0.0078125, ""all24"": 0.5625}, ""(6, 3, 0)"": {""changed"": 0.8776041666666667, ""harm"": 0.0078125, ""all24"": 0.5625}, ""(6, 3, 1)"": {""changed"": 0.9244791666666666, ""harm"": 0.010416666666666666, ""all24"": 0.5625}}","{""early"": 0.6328125, ""late"": 0.609375}","{""rows"": 96, ""parse_ok"": 1.0, ""agrees_with_score"": 0.9895833333333334}"
