actor,condition,program,n,final_decision_accuracy,all_receivers_correct,complete_episode_correct,receiver_accuracy,receiver_failures,aggregator_unparsed,correct_when_majority_changes,correct_when_invariant,reports_reused
gemma,CANONICAL_CURRENT_s0,AB,128,0.9765625,1.0,0.9765625,1.0,0,0,0.953125,1.0,128
gemma,CANONICAL_CURRENT_s0,repeat2,128,0.984375,1.0,0.984375,1.0,0,0,0.96875,1.0,128
gemma,CANONICAL_CURRENT_s0,restore,128,0.984375,1.0,0.984375,1.0,0,0,,0.984375,0
gemma,CANONICAL_CURRENT_s0,single,128,0.984375,1.0,0.984375,1.0,0,0,0.96875,1.0,128
gemma,CANONICAL_CURRENT_s1,AB,128,0.9765625,1.0,0.9765625,1.0,0,0,0.953125,1.0,0
gemma,CANONICAL_CURRENT_s1,repeat2,128,0.984375,1.0,0.984375,1.0,0,0,0.96875,1.0,128
gemma,CANONICAL_CURRENT_s1,restore,128,0.9765625,0.9921875,0.9765625,0.9973958333333333,0,0,,0.9765625,0
gemma,CANONICAL_CURRENT_s1,single,128,0.984375,1.0,0.984375,1.0,0,0,0.96875,1.0,0
gemma,FREE_COMPLETE_SINGLE_s0,AB,128,0.9765625,1.0,0.9765625,1.0,0,0,0.953125,1.0,0
gemma,FREE_COMPLETE_SINGLE_s0,repeat2,128,0.984375,1.0,0.984375,1.0,0,0,0.96875,1.0,0
gemma,FREE_COMPLETE_SINGLE_s0,restore,128,0.984375,1.0,0.984375,1.0,0,0,,0.984375,0
gemma,FREE_COMPLETE_SINGLE_s0,single,128,0.984375,1.0,0.984375,1.0,0,0,0.96875,1.0,0
gemma,FREE_COMPLETE_SINGLE_s1,AB,128,0.96875,0.96875,0.953125,0.9895833333333334,0,0,0.9375,1.0,0
gemma,FREE_COMPLETE_SINGLE_s1,repeat2,128,0.953125,0.9140625,0.8984375,0.9713541666666666,0,0,0.90625,1.0,0
gemma,FREE_COMPLETE_SINGLE_s1,restore,128,0.96875,0.984375,0.96875,0.9947916666666666,0,0,,0.96875,0
gemma,FREE_COMPLETE_SINGLE_s1,single,128,0.984375,0.96875,0.953125,0.9895833333333333,0,0,0.96875,1.0,0
gemma,FROZEN_V3_INVARIANT_SET_s0,AB,128,0.953125,0.9765625,0.953125,0.9921875,0,0,0.953125,0.953125,0
gemma,FROZEN_V3_INVARIANT_SET_s0,repeat2,128,0.984375,1.0,0.984375,1.0,0,0,0.96875,1.0,16
gemma,FROZEN_V3_INVARIANT_SET_s0,restore,128,0.984375,1.0,0.984375,1.0,0,0,,0.984375,0
gemma,FROZEN_V3_INVARIANT_SET_s0,single,128,0.984375,1.0,0.984375,1.0,0,0,0.96875,1.0,0
gemma,FROZEN_V3_INVARIANT_SET_s1,AB,128,0.9375,0.9453125,0.921875,0.9817708333333333,0,0,0.921875,0.953125,0
gemma,FROZEN_V3_INVARIANT_SET_s1,repeat2,128,0.9765625,0.9921875,0.9765625,0.9973958333333333,0,0,0.953125,1.0,16
gemma,FROZEN_V3_INVARIANT_SET_s1,restore,128,0.984375,1.0,0.984375,1.0,0,0,,0.984375,0
gemma,FROZEN_V3_INVARIANT_SET_s1,single,128,0.9765625,0.9921875,0.9765625,0.9973958333333333,0,0,0.953125,1.0,0
gemma,NATURAL_FINAL_WORLD,AB,128,0.9765625,1.0,0.9765625,1.0,0,0,0.953125,1.0,0
gemma,NATURAL_FINAL_WORLD,repeat2,128,0.984375,1.0,0.984375,1.0,0,0,0.96875,1.0,128
gemma,NATURAL_FINAL_WORLD,restore,128,0.984375,0.9921875,0.9765625,0.9973958333333333,0,0,,0.984375,128
gemma,NATURAL_FINAL_WORLD,single,128,0.984375,1.0,0.984375,1.0,0,0,0.96875,1.0,0
gemma,SOURCE,AB,128,0.984375,0.9921875,0.9765625,0.9973958333333333,0,0,0.96875,1.0,128
gemma,SOURCE,repeat2,128,0.984375,0.9921875,0.9765625,0.9973958333333333,0,0,0.96875,1.0,128
gemma,SOURCE,restore,128,0.984375,0.9921875,0.9765625,0.9973958333333333,0,0,,0.984375,128
gemma,SOURCE,single,128,0.984375,0.9921875,0.9765625,0.9973958333333333,0,0,0.96875,1.0,0
gemma,TEXT_CORRECTION_SEQ,AB,128,0.9765625,0.9921875,0.96875,0.9973958333333333,0,0,0.953125,1.0,0
gemma,TEXT_CORRECTION_SEQ,repeat2,128,0.9765625,0.9921875,0.9765625,0.9973958333333333,0,0,0.953125,1.0,0
gemma,TEXT_CORRECTION_SEQ,restore,128,0.984375,0.9921875,0.9765625,0.9973958333333333,0,0,,0.984375,0
gemma,TEXT_CORRECTION_SEQ,single,128,0.9765625,0.9921875,0.9765625,0.9973958333333333,0,0,0.953125,1.0,0
qwen,CANONICAL_CURRENT_s0,AB,64,0.828125,0.8125,0.75,0.9166666666666666,0,0,0.8857142857142857,0.7586206896551724,64
qwen,CANONICAL_CURRENT_s0,repeat2,64,0.875,0.828125,0.75,0.9427083333333333,0,0,0.896551724137931,0.8571428571428571,64
qwen,CANONICAL_CURRENT_s0,restore,64,0.84375,0.96875,0.828125,0.9895833333333333,0,0,,0.84375,6
qwen,CANONICAL_CURRENT_s0,single,64,0.875,0.828125,0.75,0.9427083333333333,0,0,0.896551724137931,0.8571428571428571,64
qwen,CANONICAL_CURRENT_s1,AB,64,0.9375,0.96875,0.90625,0.9895833333333334,0,0,1.0,0.8620689655172413,64
qwen,CANONICAL_CURRENT_s1,repeat2,64,0.859375,0.96875,0.84375,0.9895833333333334,0,0,0.9655172413793104,0.7714285714285715,64
qwen,CANONICAL_CURRENT_s1,restore,64,0.84375,0.96875,0.828125,0.9895833333333334,0,0,,0.84375,10
qwen,CANONICAL_CURRENT_s1,single,64,0.859375,0.96875,0.84375,0.9895833333333334,0,0,0.9655172413793104,0.7714285714285715,64
qwen,FROZEN_V3_INVARIANT_SET_s0,AB,64,0.921875,1.0,0.921875,1.0,0,0,1.0,0.8275862068965517,0
qwen,FROZEN_V3_INVARIANT_SET_s0,repeat2,64,0.875,0.984375,0.859375,0.9947916666666666,0,0,1.0,0.7714285714285715,8
qwen,FROZEN_V3_INVARIANT_SET_s0,restore,64,0.859375,0.96875,0.828125,0.9895833333333334,0,0,,0.859375,0
qwen,FROZEN_V3_INVARIANT_SET_s0,single,64,0.875,0.984375,0.859375,0.9947916666666666,0,0,1.0,0.7714285714285715,0
qwen,FROZEN_V3_INVARIANT_SET_s1,AB,64,0.921875,0.96875,0.90625,0.9895833333333333,0,0,1.0,0.8275862068965517,0
qwen,FROZEN_V3_INVARIANT_SET_s1,repeat2,64,0.875,0.96875,0.859375,0.984375,0,0,0.9655172413793104,0.8,6
qwen,FROZEN_V3_INVARIANT_SET_s1,restore,64,0.859375,0.953125,0.8125,0.984375,0,0,,0.859375,0
qwen,FROZEN_V3_INVARIANT_SET_s1,single,64,0.875,0.96875,0.859375,0.984375,0,0,0.9655172413793104,0.8,0
qwen,INV_COMPLETE_SINGLE_s0,AB,64,0.828125,0.8125,0.75,0.9166666666666666,0,0,0.8857142857142857,0.7586206896551724,0
qwen,INV_COMPLETE_SINGLE_s0,repeat2,64,0.875,0.828125,0.75,0.9427083333333333,0,0,0.896551724137931,0.8571428571428571,15
qwen,INV_COMPLETE_SINGLE_s0,restore,64,0.84375,0.96875,0.828125,0.9895833333333333,0,0,,0.84375,0
qwen,INV_COMPLETE_SINGLE_s0,single,64,0.875,0.828125,0.75,0.9427083333333333,0,0,0.896551724137931,0.8571428571428571,0
qwen,INV_COMPLETE_SINGLE_s1,AB,64,0.9375,0.96875,0.90625,0.9895833333333334,0,0,1.0,0.8620689655172413,0
qwen,INV_COMPLETE_SINGLE_s1,repeat2,64,0.859375,0.96875,0.84375,0.9895833333333334,0,0,0.9655172413793104,0.7714285714285715,6
qwen,INV_COMPLETE_SINGLE_s1,restore,64,0.84375,0.96875,0.828125,0.9895833333333334,0,0,,0.84375,0
