actor,condition,acc_direct,acc_opposes,acc_same,acc_both,acc_either,boolean_changed,equality_changed
gemma,SOURCE,0.75537109375,0.533203125,0.2724609375,0.5654296875,0.5537109375,0.1318359375,0.2724609375
gemma,COUNTERFACTUAL,0.98681640625,0.9541015625,0.7578125,0.91796875,0.91015625,0.845703125,0.7578125
gemma,TEXT_CORRECTION,0.9892578125,0.986328125,0.6962890625,0.912109375,0.890625,0.8671875,0.6962890625
gemma,INV_SPARSE_CONTINUE_s0,0.99560546875,0.96875,0.865234375,0.8896484375,0.91796875,0.8662109375,0.865234375
gemma,INV_SPARSE_CONTINUE_s1,0.98828125,0.9638671875,0.80859375,0.9169921875,0.955078125,0.955078125,0.80859375
gemma,INV_COMPLETE_SINGLE_s0,0.99462890625,0.9814453125,0.853515625,0.9287109375,0.939453125,0.8857421875,0.853515625
gemma,INV_COMPLETE_SINGLE_s1,0.9892578125,0.984375,0.83203125,0.9404296875,0.9287109375,0.908203125,0.83203125
gemma,FREE_SPARSE_CONTINUE_s0,0.99169921875,0.9736328125,0.8720703125,0.9228515625,0.9267578125,0.8857421875,0.8720703125
gemma,FREE_SPARSE_CONTINUE_s1,0.9873046875,0.97265625,0.8203125,0.9287109375,0.916015625,0.8671875,0.8203125
gemma,FREE_COMPLETE_SINGLE_s0,0.99609375,0.9833984375,0.8935546875,0.9404296875,0.9541015625,0.9208984375,0.8935546875
gemma,FREE_COMPLETE_SINGLE_s1,0.99072265625,0.9853515625,0.8447265625,0.955078125,0.95703125,0.94140625,0.8447265625
gemma,FROZEN_V3_INVARIANT_SET_s0,0.99560546875,0.96875,0.865234375,0.8896484375,0.91796875,0.8662109375,0.865234375
gemma,FROZEN_V3_INVARIANT_SET_s1,0.98876953125,0.978515625,0.880859375,0.89453125,0.9404296875,0.86328125,0.880859375
gemma,FROZEN_V3_FREE_OVERWRITE_s0,0.99169921875,0.9736328125,0.8720703125,0.9228515625,0.9267578125,0.8857421875,0.8720703125
gemma,FROZEN_V3_FREE_OVERWRITE_s1,0.9853515625,0.9736328125,0.8310546875,0.83984375,0.91796875,0.7763671875,0.8310546875
qwen,SOURCE,0.7138671875,0.4765625,0.427734375,0.572265625,0.580078125,0.189453125,0.427734375
qwen,COUNTERFACTUAL,0.9287109375,0.87890625,0.537109375,0.896484375,0.8046875,0.732421875,0.537109375
qwen,TEXT_CORRECTION,0.90625,0.921875,0.490234375,0.857421875,0.7734375,0.697265625,0.490234375
qwen,INV_SPARSE_CONTINUE_s0,0.93359375,0.92578125,0.728515625,0.919921875,0.89453125,0.91015625,0.728515625
qwen,INV_SPARSE_CONTINUE_s1,0.9267578125,0.916015625,0.73828125,0.923828125,0.919921875,0.892578125,0.73828125
qwen,INV_COMPLETE_SINGLE_s0,0.9326171875,0.9296875,0.787109375,0.958984375,0.888671875,0.87109375,0.787109375
qwen,INV_COMPLETE_SINGLE_s1,0.953125,0.947265625,0.78515625,0.974609375,0.916015625,0.916015625,0.78515625
qwen,FREE_SPARSE_CONTINUE_s0,0.91015625,0.833984375,0.662109375,0.896484375,0.796875,0.763671875,0.662109375
qwen,FREE_SPARSE_CONTINUE_s1,0.93359375,0.92578125,0.662109375,0.931640625,0.841796875,0.810546875,0.662109375
qwen,FREE_COMPLETE_SINGLE_s0,0.94921875,0.935546875,0.732421875,0.9375,0.90625,0.8828125,0.732421875
qwen,FREE_COMPLETE_SINGLE_s1,0.947265625,0.892578125,0.6953125,0.947265625,0.884765625,0.853515625,0.6953125
qwen,FROZEN_V3_INVARIANT_SET_s0,0.93359375,0.92578125,0.728515625,0.919921875,0.89453125,0.91015625,0.728515625
qwen,FROZEN_V3_INVARIANT_SET_s1,0.9267578125,0.916015625,0.73828125,0.923828125,0.919921875,0.892578125,0.73828125
qwen,FROZEN_V3_FREE_OVERWRITE_s0,0.935546875,0.91796875,0.724609375,0.90234375,0.8359375,0.8671875,0.724609375
qwen,FROZEN_V3_FREE_OVERWRITE_s1,0.916015625,0.857421875,0.591796875,0.923828125,0.84375,0.865234375,0.591796875
