actor,condition,program,n,max_workspace,max_bf16,hash_equal_single_fraction
gemma,CANONICAL_CURRENT_s0,AB,64,,,0.0
gemma,CANONICAL_CURRENT_s0,ABC,64,,,0.0
gemma,CANONICAL_CURRENT_s0,AB_cross,64,,,0.0
gemma,CANONICAL_CURRENT_s0,BA,64,,,0.0
gemma,CANONICAL_CURRENT_s0,CBA,64,,,0.0
gemma,CANONICAL_CURRENT_s0,noop,64,18.58419418334961,18.59375,0.0
gemma,CANONICAL_CURRENT_s0,overwrite,64,0.0,0.0,1.0
gemma,CANONICAL_CURRENT_s0,repeat2,64,0.0,0.0,1.0
gemma,CANONICAL_CURRENT_s0,repeat4,64,0.0,0.0,1.0
gemma,CANONICAL_CURRENT_s0,repeat8,64,0.0,0.0,1.0
gemma,CANONICAL_CURRENT_s0,restore,64,18.58419418334961,18.59375,0.0
gemma,CANONICAL_CURRENT_s0,restore_after4,64,18.58419418334961,18.59375,0.0
gemma,CANONICAL_CURRENT_s1,AB,64,,,0.0
gemma,CANONICAL_CURRENT_s1,ABC,64,,,0.0
gemma,CANONICAL_CURRENT_s1,AB_cross,64,,,0.0
gemma,CANONICAL_CURRENT_s1,BA,64,,,0.0
gemma,CANONICAL_CURRENT_s1,CBA,64,,,0.0
gemma,CANONICAL_CURRENT_s1,noop,64,10.015939712524414,10.0,0.0
gemma,CANONICAL_CURRENT_s1,overwrite,64,0.0,0.0,1.0
gemma,CANONICAL_CURRENT_s1,repeat2,64,0.0,0.0,1.0
gemma,CANONICAL_CURRENT_s1,repeat4,64,0.0,0.0,1.0
gemma,CANONICAL_CURRENT_s1,repeat8,64,0.0,0.0,1.0
gemma,CANONICAL_CURRENT_s1,restore,64,10.015939712524414,10.0,0.0
gemma,CANONICAL_CURRENT_s1,restore_after4,64,10.015939712524414,10.0,0.0
gemma,FREE_COMPLETE_SINGLE_s0,AB,64,,,0.0
gemma,FREE_COMPLETE_SINGLE_s0,ABC,64,,,0.0
gemma,FREE_COMPLETE_SINGLE_s0,AB_cross,64,,,0.0
gemma,FREE_COMPLETE_SINGLE_s0,BA,64,,,0.0
gemma,FREE_COMPLETE_SINGLE_s0,CBA,64,,,0.0
gemma,FREE_COMPLETE_SINGLE_s0,noop,64,18.58419418334961,18.59375,0.0
gemma,FREE_COMPLETE_SINGLE_s0,overwrite,64,2.729741096496582,2.73046875,0.0
gemma,FREE_COMPLETE_SINGLE_s0,repeat2,64,5.66989278793335,5.66796875,0.0
gemma,FREE_COMPLETE_SINGLE_s0,repeat4,64,4.34096622467041,4.3359375,0.0
gemma,FREE_COMPLETE_SINGLE_s0,repeat8,64,4.396758079528809,4.390625,0.0
gemma,FREE_COMPLETE_SINGLE_s0,restore,64,17.812711715698242,17.8125,0.0
gemma,FREE_COMPLETE_SINGLE_s0,restore_after4,64,17.709331512451172,17.703125,0.0
gemma,FREE_COMPLETE_SINGLE_s1,AB,64,,,0.0
gemma,FREE_COMPLETE_SINGLE_s1,ABC,64,,,0.0
gemma,FREE_COMPLETE_SINGLE_s1,AB_cross,64,,,0.0
gemma,FREE_COMPLETE_SINGLE_s1,BA,64,,,0.0
gemma,FREE_COMPLETE_SINGLE_s1,CBA,64,,,0.0
gemma,FREE_COMPLETE_SINGLE_s1,noop,64,14.03912353515625,14.03125,0.0
gemma,FREE_COMPLETE_SINGLE_s1,overwrite,64,3.5182480812072754,3.5078125,0.0
gemma,FREE_COMPLETE_SINGLE_s1,repeat2,64,6.388038158416748,6.376953125,0.0
gemma,FREE_COMPLETE_SINGLE_s1,repeat4,64,5.675032138824463,5.6796875,0.0
gemma,FREE_COMPLETE_SINGLE_s1,repeat8,64,5.668869972229004,5.6796875,0.0
gemma,FREE_COMPLETE_SINGLE_s1,restore,64,13.461677551269531,13.46875,0.0
gemma,FREE_COMPLETE_SINGLE_s1,restore_after4,64,13.547622680664062,13.53125,0.0
gemma,FREE_SPARSE_CONTINUE_s0,AB,64,,,0.0
gemma,FREE_SPARSE_CONTINUE_s0,ABC,64,,,0.0
gemma,FREE_SPARSE_CONTINUE_s0,AB_cross,64,,,0.0
gemma,FREE_SPARSE_CONTINUE_s0,BA,64,,,0.0
gemma,FREE_SPARSE_CONTINUE_s0,CBA,64,,,0.0
gemma,FREE_SPARSE_CONTINUE_s0,noop,64,16.168203353881836,16.1484375,0.0
gemma,FREE_SPARSE_CONTINUE_s0,overwrite,64,4.7711381912231445,4.765625,0.0
gemma,FREE_SPARSE_CONTINUE_s0,repeat2,64,4.43103551864624,4.4453125,0.0
gemma,FREE_SPARSE_CONTINUE_s0,repeat4,64,3.8912949562072754,3.875,0.0
gemma,FREE_SPARSE_CONTINUE_s0,repeat8,64,3.8674449920654297,3.84375,0.0
gemma,FREE_SPARSE_CONTINUE_s0,restore,64,14.034172058105469,14.015625,0.0
gemma,FREE_SPARSE_CONTINUE_s0,restore_after4,64,14.59019947052002,14.5703125,0.0
gemma,FREE_SPARSE_CONTINUE_s1,AB,64,,,0.0
gemma,FREE_SPARSE_CONTINUE_s1,ABC,64,,,0.0
gemma,FREE_SPARSE_CONTINUE_s1,AB_cross,64,,,0.0
gemma,FREE_SPARSE_CONTINUE_s1,BA,64,,,0.0
gemma,FREE_SPARSE_CONTINUE_s1,CBA,64,,,0.0
gemma,FREE_SPARSE_CONTINUE_s1,noop,64,22.427278518676758,22.4375,0.0
gemma,FREE_SPARSE_CONTINUE_s1,overwrite,64,6.662572860717773,6.6875,0.0
gemma,FREE_SPARSE_CONTINUE_s1,repeat2,64,10.446222305297852,10.421875,0.0
gemma,FREE_SPARSE_CONTINUE_s1,repeat4,64,8.275279998779297,8.25,0.0
gemma,FREE_SPARSE_CONTINUE_s1,repeat8,64,7.443042278289795,7.40625,0.0
gemma,FREE_SPARSE_CONTINUE_s1,restore,64,19.950942993164062,19.9375,0.0
gemma,FREE_SPARSE_CONTINUE_s1,restore_after4,64,20.996252059936523,21.0,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s0,AB,64,,,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s0,ABC,64,,,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s0,AB_cross,64,,,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s0,BA,64,,,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s0,CBA,64,,,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s0,noop,64,16.168203353881836,16.1484375,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s0,overwrite,64,4.7711381912231445,4.765625,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s0,repeat2,64,4.43103551864624,4.4453125,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s0,repeat4,64,3.8912949562072754,3.875,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s0,repeat8,64,3.8674449920654297,3.84375,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s0,restore,64,14.034172058105469,14.015625,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s0,restore_after4,64,14.59019947052002,14.5703125,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s1,AB,64,,,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s1,ABC,64,,,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s1,AB_cross,64,,,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s1,BA,64,,,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s1,CBA,64,,,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s1,noop,64,13.210552215576172,13.1875,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s1,overwrite,64,3.330965042114258,3.34375,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s1,repeat2,64,4.289411544799805,4.2734375,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s1,repeat4,64,3.918268918991089,3.91796875,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s1,repeat8,64,3.8463897705078125,3.84765625,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s1,restore,64,11.549251556396484,11.546875,0.0
gemma,FROZEN_V3_FREE_OVERWRITE_s1,restore_after4,64,11.985828399658203,11.953125,0.0
