Unnamed: 0,SafetyCore-WGM,OverRefusal-XST,Humanizing-CCN,Incomplete-CCN,Indeterminate-CCN,Safety-CCN,Unsupported-CCN,HateSpeech-SB,CrimeAssistance-SB,Inappropriate-SB,Advice-SB
SafetyCore-WGM,1.0,0.781,0.305,0.103,0.287,0.895,0.36,0.88,0.954,0.78,0.768
OverRefusal-XST,0.781,1.0,0.388,-0.058,0.143,0.714,0.114,0.678,0.779,0.392,0.592
Humanizing-CCN,0.305,0.388,1.0,0.102,0.487,0.464,0.473,0.279,0.257,0.134,0.279
Incomplete-CCN,0.103,-0.058,0.102,1.0,0.371,0.275,0.396,0.11,0.113,0.076,-0.073
Indeterminate-CCN,0.287,0.143,0.487,0.371,1.0,0.45,0.563,0.292,0.274,0.215,0.245
Safety-CCN,0.895,0.714,0.464,0.275,0.45,1.0,0.487,0.858,0.863,0.726,0.716
Unsupported-CCN,0.36,0.114,0.473,0.396,0.563,0.487,1.0,0.289,0.303,0.319,0.353
HateSpeech-SB,0.88,0.678,0.279,0.11,0.292,0.858,0.289,1.0,0.878,0.831,0.7
CrimeAssistance-SB,0.954,0.779,0.257,0.113,0.274,0.863,0.303,0.878,1.0,0.748,0.782
Inappropriate-SB,0.78,0.392,0.134,0.076,0.215,0.726,0.319,0.831,0.748,1.0,0.657
Advice-SB,0.768,0.592,0.279,-0.073,0.245,0.716,0.353,0.7,0.782,0.657,1.0
