direction,alpha,refusal_rate_harmful,over_refusal_rate_harmless,accuracy
SafetyCore-WGM,10,0.57,0.52,0.525
SafetyCore-WGM,30,0.69,0.58,0.555
SafetyCore-WGM,60,0.82,0.64,0.59
SafetyCore-WGM,100,0.97,0.82,0.575
OverRefusal-XST,10,0.56,0.5,0.53
OverRefusal-XST,30,0.68,0.55,0.565
OverRefusal-XST,60,0.77,0.62,0.575
OverRefusal-XST,100,0.93,0.71,0.61
Humanizing-CCN,10,0.53,0.48,0.525
Humanizing-CCN,30,0.53,0.44,0.545
Humanizing-CCN,60,0.55,0.46,0.545
Humanizing-CCN,100,0.55,0.42,0.565
Incomplete-CCN,10,0.52,0.47,0.525
Incomplete-CCN,30,0.53,0.43,0.55
Incomplete-CCN,60,0.57,0.36,0.605
Incomplete-CCN,100,0.57,0.32,0.625
Indeterminate-CCN,10,0.52,0.49,0.515
Indeterminate-CCN,30,0.54,0.47,0.535
Indeterminate-CCN,60,0.54,0.46,0.54
Indeterminate-CCN,100,0.58,0.36,0.61
Safety-CCN,10,0.56,0.51,0.525
Safety-CCN,30,0.66,0.55,0.555
Safety-CCN,60,0.78,0.6,0.59
Safety-CCN,100,0.92,0.74,0.59
Unsupported-CCN,10,0.54,0.46,0.54
Unsupported-CCN,30,0.55,0.44,0.555
Unsupported-CCN,60,0.6,0.42,0.59
Unsupported-CCN,100,0.7,0.4,0.65
HateSpeech-SB,10,0.56,0.53,0.515
HateSpeech-SB,30,0.67,0.56,0.555
HateSpeech-SB,60,0.83,0.63,0.6
HateSpeech-SB,100,0.94,0.84,0.55
CrimeAssistance-SB,10,0.57,0.54,0.515
CrimeAssistance-SB,30,0.7,0.59,0.555
CrimeAssistance-SB,60,0.84,0.66,0.59
CrimeAssistance-SB,100,0.96,0.9,0.53
Inappropriate-SB,10,0.55,0.49,0.53
Inappropriate-SB,30,0.64,0.55,0.545
Inappropriate-SB,60,0.76,0.63,0.565
Inappropriate-SB,100,0.92,0.77,0.575
Advice-SB,10,0.57,0.52,0.525
Advice-SB,30,0.69,0.59,0.55
Advice-SB,60,0.84,0.66,0.59
Advice-SB,100,0.93,0.85,0.54
