model,train_type,test_type,rows,boards,supports,opposes,auroc,accuracy,aligned_class_separation,mean_aligned_score,within_situation_rows,within_situation_accuracy,full_type_checkerboards,train_rows,auroc_ci_low,auroc_ci_high,auroc_bootstrap_valid,aligned_class_separation_ci_low,aligned_class_separation_ci_high,aligned_class_separation_bootstrap_valid,accuracy_ci_low,accuracy_ci_high,accuracy_bootstrap_valid,human_clear_rows,human_clear_auroc,human_clear_accuracy,human_clear_aligned_class_separation
llama,Value,Value,228,95,113,115,0.7232012312427857,0.6666666666666666,0.8693679571151733,1.3413056135177612,88,0.6818181818181818,19,521,0.6653016964645468,0.7799865206115205,5000,0.6381091149234362,1.136171156987983,5000,0.6096491228070176,0.7232190349544072,5000,137,0.8536064874093043,0.7591240875912408,1.542449116706848
llama,Value,Right,157,70,80,77,0.7126623376623377,0.6369426751592356,0.7406281232833862,1.077527642250061,44,0.6136363636363636,10,521,0.6303548207122294,0.7909919028340081,5000,0.4279814595408758,1.08414570836662,5000,0.5704697986577181,0.7006802721088435,5000,100,0.8363345338135254,0.71,1.257347822189331
llama,Value,Duty,115,54,57,58,0.7803992740471869,0.7304347826086957,1.0925661325454712,1.8378914594650269,22,0.7272727272727273,5,521,0.6861179892546616,0.868209048403379,5000,0.6782482630321649,1.629238317387493,5000,0.6517857142857143,0.8099173553719008,5000,60,0.914349276974416,0.8,1.9926166534423828
llama,Right,Value,228,95,113,115,0.7106579453636013,0.6622807017543859,0.8362846374511719,1.3765085935592651,88,0.6590909090909091,19,268,0.6458557715679334,0.7749011386709806,5000,0.5848960242045576,1.1241360990688012,5000,0.6046485200845666,0.7187637061403507,5000,137,0.842936406316688,0.7737226277372263,1.5254793167114258
llama,Right,Right,157,70,80,77,0.702435064935065,0.643312101910828,0.7316563725471497,1.1284093856811523,44,0.6363636363636364,10,268,0.6209348851721999,0.7813300741101373,5000,0.4167951543860777,1.0885135769249772,5000,0.5731518082422203,0.7080810041407867,5000,100,0.8259303721488596,0.71,1.280812382698059
llama,Right,Duty,115,54,57,58,0.7852389594676347,0.7130434782608696,1.1130396127700806,1.9476211071014404,22,0.6818181818181818,5,268,0.6987241406317518,0.8700609831123689,5000,0.7207277249484482,1.6483361849741658,5000,0.635593220338983,0.7927927927927928,5000,60,0.9154616240266964,0.75,2.00207781791687
llama,Duty,Value,228,95,113,115,0.7232012312427857,0.6622807017543859,0.8877142071723938,1.4598841667175293,88,0.6590909090909091,19,711,0.6644746319746319,0.7823147195446474,5000,0.6395367322982065,1.1611732253251683,5000,0.6018089536699636,0.7229437229437229,5000,137,0.8486982501067007,0.7591240875912408,1.5440353155136108
llama,Duty,Right,157,70,80,77,0.7115259740259741,0.6369426751592356,0.7567040920257568,1.1745980978012085,44,0.6363636363636364,10,711,0.6314472923627852,0.7854350215854624,5000,0.4432731784322005,1.090153206179786,5000,0.5696969696969697,0.7,5000,100,0.8339335734293718,0.7,1.2776291370391846
llama,Duty,Duty,115,54,57,58,0.7858439201451904,0.7217391304347827,1.118568778038025,2.0004022121429443,22,0.7272727272727273,5,711,0.6925007095937069,0.8687914857643817,5000,0.7009601125472211,1.6300775709604365,5000,0.6428571428571429,0.7982491511035653,5000,60,0.921023359288098,0.8,2.0532772541046143
llama,Global,Value,228,95,113,115,0.7211235090419392,0.6622807017543859,0.8739686012268066,0.5698425769805908,88,0.6590909090909091,19,1500,0.6622049386905398,0.7794133851887862,5000,0.6341797452343858,1.145359731482661,5000,0.6035242290748899,0.7209348651904011,5000,137,0.8506188647033718,0.7664233576642335,1.5468157529830933
llama,Global,Right,157,70,80,77,0.7103896103896103,0.6369426751592356,0.7489665150642395,0.460731565952301,44,0.6136363636363636,10,1500,0.627385944092827,0.7875252480435406,5000,0.4366929664157402,1.0893383402040788,5000,0.5697637621430675,0.7039473684210527,5000,100,0.8323329331732693,0.71,1.2761956453323364
llama,Global,Duty,115,54,57,58,0.7858439201451906,0.7304347826086957,1.1097838878631592,0.7846928238868713,22,0.7272727272727273,5,1500,0.6929821514748249,0.8710817216296799,5000,0.7005727016975891,1.6357917041109793,5000,0.6504065040650406,0.807355963302752,5000,60,0.9187986651835373,0.8,2.026991605758667
