model,population,family,direction_id,dose,items,boards,mean_semantic_margin,mean_delta_from_zero,delta_ci_low,delta_ci_high,verdict_change_rate_from_zero
gemma,ALL,dim,frozen_dim,-2.0,500,125,-6.648750000119209,-5.400250002741814,-5.779384376209974,-5.030103126904369,0.434
gemma,ALL,dim,frozen_dim,-1.0,500,125,-3.116999997735024,-1.868500000357628,-2.0161374990463257,-1.7257437493681909,0.106
gemma,ALL,dim,frozen_dim,-0.5,500,125,-2.077374997854233,-0.8288750004768372,-0.9095031216531992,-0.758496875575185,0.044
gemma,ALL,dim,frozen_dim,0.0,500,125,-1.2484999973773956,0.0,0.0,0.0,0.0
gemma,ALL,dim,frozen_dim,0.5,500,125,-0.3052499988079071,0.9432499985694884,0.8615000013649463,1.02899999691844,0.066
gemma,ALL,dim,frozen_dim,1.0,500,125,1.1993749971985816,2.447874994575977,2.277618747483194,2.6202499943837525,0.14
gemma,ALL,dim,frozen_dim,2.0,500,125,5.106874997675419,6.355374995052815,5.964968743404746,6.737659373587369,0.54
gemma,ALL,opposite_dim,negative_frozen_dim,-2.0,500,125,5.106874997675419,6.355374995052815,5.972484372520447,6.732881246931851,0.54
gemma,ALL,opposite_dim,negative_frozen_dim,-1.0,500,125,1.1993749971985816,2.447874994575977,2.277249994637072,2.618884372358024,0.14
gemma,ALL,opposite_dim,negative_frozen_dim,-0.5,500,125,-0.3052499988079071,0.9432499985694884,0.8649999978244305,1.032874996459484,0.066
gemma,ALL,opposite_dim,negative_frozen_dim,0.0,500,125,-1.2484999973773956,0.0,0.0,0.0,0.0
gemma,ALL,opposite_dim,negative_frozen_dim,0.5,500,125,-2.077374997854233,-0.8288750004768372,-0.9095031251817942,-0.7559968729257583,0.044
gemma,ALL,opposite_dim,negative_frozen_dim,1.0,500,125,-3.116999997735024,-1.868500000357628,-2.0162562499552963,-1.725743750217557,0.106
gemma,ALL,opposite_dim,negative_frozen_dim,2.0,500,125,-6.648750000119209,-5.400250002741814,-5.787021876221895,-5.015225003749133,0.434
