model,endpoint,population,family,estimate,ci_low,ci_high,monotonicity,items,permutation_p_greater,independent_clusters,pairs,baseline_flips,flips_rescued,stable_pairs_disrupted
llama,claim1_local_slope,ALL,dim,0.7701249994039535,0.7221250004589558,0.8182531206429003,0.9926666666666666,500,,,,,,
llama,claim1_local_slope,ALL,opposite_dim,-0.7701249994039535,-0.8182531206429005,-0.7221250004589558,0.06033333333333333,500,,,,,,
llama,claim1_local_slope,ALL,wrong_layer,0.7978750002384186,0.7546187461942434,0.8410000000119209,0.995,500,,,,,,
llama,claim1_local_slope,ALL,random_orthogonal,-0.0379999993840853,-0.04916666529874,-0.0268333333710829,0.6011111111111112,500,,,,,,
llama,claim1_dim_minus_controls_local_slope,ALL,dim_minus_controls,0.3901874989767868,0.3632708351567387,0.4174171868070959,0.9926666666666666,500,0.0001999600079984003,125.0,,,,
llama,claim1_local_slope,BOTH_CLEAR,dim,0.7814221756517394,0.7190082635576568,0.8468513228799686,0.9915824915824916,297,,,,,,
llama,claim1_local_slope,BOTH_CLEAR,opposite_dim,-0.7814221756517394,-0.8468513228799686,-0.7190082635576568,0.0707070707070707,297,,,,,,
llama,claim1_local_slope,BOTH_CLEAR,wrong_layer,0.8035468324895733,0.7456051995787903,0.864066804831555,0.994388327721661,297,,,,,,
llama,claim1_local_slope,BOTH_CLEAR,random_orthogonal,-0.0218663900488554,-0.0367596392994413,-0.0066861796802588,0.6159745604190048,297,,,,,,
llama,claim1_dim_minus_controls_local_slope,BOTH_CLEAR,dim_minus_controls,0.3905819544313805,0.3554422045350622,0.4269692615682004,0.9915824915824916,297,0.0001999600079984003,121.0,,,,
llama,claim1_local_slope,DISPUTED,dim,0.7442129591916813,0.6721643467698202,0.8208912006061937,0.9942528735632185,203,,,,,,
llama,claim1_local_slope,DISPUTED,opposite_dim,-0.7442129591916813,-0.8208912006061937,-0.6721643467698202,0.0451559934318555,203,,,,,,
llama,claim1_local_slope,DISPUTED,wrong_layer,0.7873263887049239,0.7230902879786344,0.8528187693614098,0.9958949096880131,203,,,,,,
llama,claim1_local_slope,DISPUTED,random_orthogonal,-0.0519868814129642,-0.0702827583312405,-0.0331790121030752,0.5793650793650793,203,,,,,,
llama,claim1_dim_minus_controls_local_slope,DISPUTED,dim_minus_controls,0.3765432055457016,0.3346989144722513,0.420991670173198,0.9942528735632185,203,0.0001999600079984003,108.0,,,,
llama,rewrite_signed_movement,representative_primary,dim,0.692545569408685,0.6153849255798075,0.7634122682378316,,80,,,286.0,30.0,5.0,0.0
llama,rewrite_absolute_gap_reduction,representative_primary,dim,-0.0610351554118096,-0.1558601864497177,0.0379589811828918,,80,,,286.0,30.0,5.0,0.0
llama,rewrite_signed_movement,representative_primary,wrong_layer,0.7248372349577645,0.6456282510670524,0.7981770755909383,,80,,,286.0,30.0,5.0,0.0
llama,rewrite_absolute_gap_reduction,representative_primary,wrong_layer,-0.0687174437878032,-0.1668009376254243,0.0346687843937737,,80,,,286.0,30.0,5.0,0.0
llama,rewrite_signed_movement,representative_primary,random_orthogonal,-0.0167100716485745,-0.0326611379003669,-2.116054943246218e-05,,80,,,286.0,30.0,0.3333333333333333,0.0
llama,rewrite_absolute_gap_reduction,representative_primary,random_orthogonal,-0.0054253482880691,-0.0170572925814323,0.0062505407820248,,80,,,286.0,30.0,0.3333333333333333,0.0
llama,rewrite_dim_minus_controls_signed_movement,representative_primary,dim_minus_controls,0.33848198775409,0.2969668237564878,0.3776590945174555,,80,0.0001999600079984003,80.0,286.0,30.0,5.0,0.0
llama,rewrite_signed_movement,enriched_diagnostic,dim,0.5470377611151586,0.3559326225232022,0.7394246458793834,,32,,,112.0,21.0,4.0,3.0
llama,rewrite_absolute_gap_reduction,enriched_diagnostic,dim,0.0408528662131478,-0.1168701155858192,0.2057657975199006,,32,,,112.0,21.0,4.0,3.0
