actor,format,endpoint,point,ci_low,ci_high,worlds,improvement_point,improvement_ci_low,improvement_ci_high
llama,F1,direct_single_holder_entailment_ba,1.0,1.0,1.0,48,0.5,0.5,0.5
llama,F2,direct_single_holder_entailment_ba,1.0,1.0,1.0,48,0.5,0.5,0.5
llama,zero_shot_baseline,direct_single_holder_entailment_ba,0.5,0.5,0.5,48,,,
llama,F1,operator_sign_ba,0.923931623931624,0.9104967948717948,0.9367925347222222,48,0.35694444444444445,0.3417728365384616,0.3722889957264957
llama,F2,operator_sign_ba,0.921741452991453,0.9074385683760684,0.9354700854700856,48,0.3547542735042735,0.34034388354700856,0.3696718082264958
llama,zero_shot_baseline,operator_sign_ba,0.5669871794871795,0.5486097756410255,0.5862192841880342,48,,,
llama,F1,same_context_dual_query_reversal,0.7916666666666666,0.6666666666666666,0.8958333333333334,48,0.5833333333333334,0.4375,0.7291666666666666
llama,F2,same_context_dual_query_reversal,0.7708333333333334,0.6458333333333334,0.8958333333333334,48,0.5625,0.4166666666666667,0.7083333333333334
llama,zero_shot_baseline,same_context_dual_query_reversal,0.2083333333333333,0.1041666666666666,0.3333333333333333,48,,,
llama,F1,holder_swap_correct,0.8333333333333334,0.7291666666666666,0.9375,48,0.625,0.4791666666666667,0.7708333333333334
llama,F2,holder_swap_correct,0.6875,0.5416666666666666,0.8125,48,0.4791666666666667,0.2916666666666667,0.6458333333333334
llama,zero_shot_baseline,holder_swap_correct,0.2083333333333333,0.1041666666666666,0.3333333333333333,48,,,
llama,F1,target_swap_correct,0.7916666666666666,0.6666666666666666,0.8958333333333334,48,0.20833333333333334,0.0625,0.3541666666666667
llama,F2,target_swap_correct,0.7916666666666666,0.6666666666666666,0.8958333333333334,48,0.20833333333333334,0.0625,0.3541666666666667
llama,zero_shot_baseline,target_swap_correct,0.5833333333333334,0.4375,0.7083333333333334,48,,,
llama,F1,role_permutation_transfer,1.0,1.0,1.0,48,0.3697916666666667,0.3125,0.421875
llama,F2,role_permutation_transfer,1.0,1.0,1.0,48,0.3697916666666667,0.3125,0.421875
llama,zero_shot_baseline,role_permutation_transfer,0.6302083333333334,0.578125,0.6875,48,,,
llama,F1,order_crossed_transfer,0.5625,0.4166666666666667,0.7083333333333334,48,-0.14583333333333334,-0.375,0.10416666666666667
llama,F2,order_crossed_transfer,0.6041666666666666,0.4583333333333333,0.75,48,-0.10416666666666667,-0.3333333333333333,0.125
llama,zero_shot_baseline,order_crossed_transfer,0.7083333333333334,0.5625,0.8333333333333334,48,,,
llama,F1,reporter_quoter_attribution,0.21875,0.1458333333333333,0.2916666666666667,48,0.20833333333333334,0.13541666666666666,0.28125
llama,F2,reporter_quoter_attribution,0.1458333333333333,0.0833333333333333,0.2083333333333333,48,0.13541666666666666,0.0625,0.20833333333333334
llama,zero_shot_baseline,reporter_quoter_attribution,0.0104166666666666,0.0,0.03125,48,,,
llama,F1,negated_withheld_entailment_ba,1.0,1.0,1.0,48,0.5,0.5,0.5
llama,F2,negated_withheld_entailment_ba,1.0,1.0,1.0,48,0.5,0.5,0.5
llama,zero_shot_baseline,negated_withheld_entailment_ba,0.5,0.5,0.5,48,,,
llama,F1,mapping_reversal_semantic_agreement,1.0,1.0,1.0,48,0.020833333333333332,0.0,0.0625
llama,F2,mapping_reversal_semantic_agreement,1.0,1.0,1.0,48,0.020833333333333332,0.0,0.0625
