population,model,items,accepted_rephrasings,binomial_log_loss_per_rephrasing,held_out_deviance,weighted_brier,calibration_intercept_ever_flip,calibration_slope_ever_flip,ece_ever_flip_5_bins,auroc_ever_flip,auprc_ever_flip,spearman_susceptibility,ece_caveat,delta_log_loss_vs_M0,delta_vs_M0_ci_low,delta_vs_M0_ci_high,delta_log_loss_vs_M2,delta_vs_M2_ci_low,delta_vs_M2_ci_high,item_permutation_p_two_sided,mean_item_prediction_sd,maximum_item_prediction_sd,no_positive_test_fold_count,fold_count,delta_log_loss_M8_vs_M5,delta_M8_vs_M5_ci_low,delta_M8_vs_M5_ci_high,M8_vs_M5_bootstrap_seed
representative_primary,M0,49,170,0.1897027824930964,45.45769433232031,0.0216670221157011,-21.867216912581704,-6.035494807676659,0.0580032126517505,0.0818181818181818,0.0692396575855222,-0.4391876727364451,Five-bin item-level diagnostic; unstable in a small pilot.,0.0,0.0,0.0,0.0155065562055239,-0.0039010577879707,0.0452395255727301,0.0014992503748125,0.0090918280704155,0.0177506241948823,12,25,,,,
representative_primary,M2,49,170,0.2052093386986204,50.72992344219846,0.0222175953017675,-37.185936174437096,-9.47977046230619,0.0647772789763584,0.0454545454545454,0.0648915679302195,-0.4795226157750715,Five-bin item-level diagnostic; unstable in a small pilot.,-0.0155065562055239,-0.0460675564341476,0.0037009898043605,0.0,0.0,0.0,0.0004997501249375,0.014100831279789,0.0585749923283271,12,25,,,,
representative_primary,M3,49,170,0.2024559831890519,49.793782568945154,0.0221394313642313,-39.46390850431663,-10.11271509204609,0.0648081464174176,0.0545454545454545,0.0656162056113789,-0.4684477417478514,Five-bin item-level diagnostic; unstable in a small pilot.,-0.0127532006959554,-0.039866535847745,0.0050062395395461,0.0027533555095685,-0.0005067484601991,0.0070108942371024,0.0004997501249375,0.0145340785431486,0.0603358487516216,12,25,,,,
representative_primary,M5,49,170,0.2062009278734591,51.06706376164363,0.0222632788605584,-43.38984031387082,-11.087797260018016,0.0646443842240937,0.0363636363636363,0.0644723936086062,-0.4886545294466388,Five-bin item-level diagnostic; unstable in a small pilot.,-0.0164981453803627,-0.0464948703249175,0.003292796220373,-0.0009915891748387,-0.0022432249075592,-0.0001831728945094,0.0004997501249375,0.0142540521950415,0.0623743638295107,12,25,,,,
representative_primary,M8,49,170,0.2033485825077228,50.09726633729327,0.022162844629632,-40.949123649848325,-10.491850072136854,0.0648459661467894,0.05,0.0655000615927959,-0.4730136985836352,Five-bin item-level diagnostic; unstable in a small pilot.,-0.0136458000146263,-0.0401068198075582,0.004966019408896,0.0018607561908976,-0.0004379153186041,0.0054691632474755,0.0004997501249375,0.0140048458014695,0.063773894348913,12,25,0.002852345365736364,1.2965619808606398e-05,0.007119047373894797,66703.0
representative_mapping_consistent_secondary,M0,47,159,0.1528275212785776,36.462270790098,0.0181133395257782,-35.807787863377484,-9.6350762225277,0.0497225989188045,0.063953488372093,0.0558890243788486,-0.425770497031196,Five-bin item-level diagnostic; unstable in a small pilot.,0.0,0.0,0.0,0.0170701768178881,-0.0032636673476198,0.0522072346911106,0.0004997501249375,0.0074861152575532,0.0134000259123344,12,25,,,,
representative_mapping_consistent_secondary,M2,47,159,0.1698976980964658,41.89058701818645,0.0186796863473565,-25.538495564318477,-6.092251700616998,0.0533677119791805,0.0813953488372093,0.0571193987749838,-0.4053497408970434,Five-bin item-level diagnostic; unstable in a small pilot.,-0.0170701768178881,-0.0524151583540925,0.0035423644811407,0.0,0.0,0.0,0.0019990004997501,0.0121522509530384,0.0517506955132682,12,25,,,,
representative_mapping_consistent_secondary,M3,47,159,0.169813668507277,41.86386560882439,0.0186742526803546,-24.731195748322055,-5.87140646773957,0.0533974298631957,0.0813953488372093,0.0571193987749838,-0.4053497408970434,Five-bin item-level diagnostic; unstable in a small pilot.,-0.0169861472286993,-0.0507195816362166,0.0038672877259351,8.40295891888776e-05,-0.0003927214697455,0.0005163259989761,0.0014992503748125,0.011957312505005,0.0538016740697975,12,25,,,,
representative_mapping_consistent_secondary,M5,47,159,0.1704459288691893,42.06492440391253,0.0187146255509667,-25.735144377627304,-6.123350820072729,0.0532854167238327,0.0697674418604651,0.0566598399514544,-0.416579589303858,Five-bin item-level diagnostic; unstable in a small pilot.,-0.0176184075906117,-0.053348564447968,0.0031829777776839,-0.0005482307727235,-0.001246016644906,9.003561978990918e-05,0.0019990004997501,0.0124791663044487,0.0568069419815984,12,25,,,,
representative_mapping_consistent_secondary,M8,47,159,0.1704493565975815,42.066014421541226,0.0187269334751908,-24.10697278100021,-5.683668298062749,0.053283764635758,0.0697674418604651,0.0566598399514544,-0.416579589303858,Five-bin item-level diagnostic; unstable in a small pilot.,-0.0176218353190038,-0.0517754670585892,0.0030073028400569,-0.0005516585011156,-0.0015688604056757,0.0004129084786009,0.0019990004997501,0.0124548957109027,0.0616476622258766,12,25,-3.4277283921524404e-06,-0.0005943188198701647,0.0005844863942499708,66704.0
