actor,condition,cases,mean_preprocess_seconds,mean_source_prefill_seconds,mean_update_refresh_seconds,mean_compile_seconds,refresh_attempted,refresh_fallback,refresh_fallback_rate
gemma,CANONICAL_REPLAY_s0,256,0.00010748779292413246,0.5624613003593737,,0.5624613003593737,0,0,
gemma,CANONICAL_REPLAY_s1,256,0.00010609222263013862,0.5608113374258252,,0.5608113374258252,0,0,
gemma,EXISTING_CORRECTION,256,0.00011303464060929969,0.6342900874062565,,0.6342900874062565,0,0,
gemma,FIELD_PLUS_LATEST_ERRATUM,256,0.000134857679661593,0.6638001676953103,0.8422891383436024,0.8743724522812109,256,192,0.75
gemma,FREE_PAIR_CONSISTENCY_s0,256,7.646117965975918e-05,0.5613730778554,,0.5613730778554,0,0,
gemma,FREE_PAIR_CONSISTENCY_s1,256,7.551276564754517e-05,0.5618425314688693,,0.5618425314688693,0,0,
gemma,INV_PAIR_NLL_s0,256,7.450246482676448e-05,0.5607823432538694,,0.5607823432538694,0,0,
gemma,INV_PAIR_NLL_s1,256,7.605283978762145e-05,0.5598429586796243,,0.5598429586796243,0,0,
gemma,LATEST_ERRATUM,256,0.0001393177265534007,0.6670536229335688,,0.6670536229335688,0,0,
gemma,LATEST_SAME_WORDING,256,0.0001731769765811464,0.6356206506991846,,0.6356206506991846,0,0,
gemma,REBUILD,256,0.00013022242969640274,0.5532621381328209,,0.5532621381328209,0,0,
gemma,SOURCE,256,9.882734375832314e-05,0.5573585106328274,,0.5573585106328274,0,0,
qwen,CANONICAL_REPLAY_s0,256,0.00011013603121057258,0.4067372898006738,,0.4067372898006738,0,0,
qwen,CANONICAL_REPLAY_s1,256,0.0001098913671455648,0.4048789184571575,,0.4048789184571575,0,0,
qwen,EXISTING_CORRECTION,256,0.00011783829293676717,0.4445564941953677,,0.4445564941953677,0,0,
qwen,FIELD_PLUS_LATEST_ERRATUM,256,0.00014648976170406058,0.45268458817196233,0.5752668217971859,0.5965012936212588,256,192,0.75
qwen,FREE_PAIR_CONSISTENCY_s0,256,7.693316415213758e-05,0.4060188054608602,,0.4060188054608602,0,0,
qwen,FREE_PAIR_CONSISTENCY_s1,256,7.662424606280638e-05,0.40546414167187095,,0.40546414167187095,0,0,
qwen,INV_PAIR_NLL_s0,256,7.751550388945816e-05,0.40433088031639386,,0.40433088031639386,0,0,
qwen,INV_PAIR_NLL_s1,256,7.720530857113772e-05,0.40482555940235443,,0.40482555940235443,0,0,
qwen,LATEST_ERRATUM,256,0.00014833982416462277,0.457386308249923,,0.457386308249923,0,0,
qwen,LATEST_SAME_WORDING,256,0.00018457345325373353,0.44182299782418966,,0.44182299782418966,0,0,
qwen,REBUILD,256,0.00013980289449477823,0.3921459133126035,,0.3921459133126035,0,0,
qwen,SOURCE,256,8.443687877957018e-05,0.394532965461039,,0.394532965461039,0,0,
